,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique,cm
0,192985,30,181,70,1,5,4,76.0,86.0,93.0,88.0,64.0,78.0,94,82,55,94,82,88,85,83,93,91,76,76,79,91,78,91,63,89,74,91,76,66,88,94,83,89,68,65,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91
1,215914,30,168,70,1,3,2,78.0,66.0,75.0,82.0,87.0,83.0,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,90,93,86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85
2,182521,31,183,76,1,5,3,53.0,81.0,91.0,81.0,71.0,68.0,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,90,73,88,71,73,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88
3,177003,35,172,66,1,4,4,73.0,76.0,89.0,88.0,72.0,66.0,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,70,75,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
4,195864,28,191,84,1,4,5,71.0,81.0,86.0,86.0,65.0,83.0,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,59,67,63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87
5,199556,28,165,60,1,4,4,64.0,61.0,87.0,91.0,79.0,67.0,82,60,57,90,64,91,85,64,89,92,68,60,91,87,94,60,67,76,54,58,89,85,78,89,64,94,78,82,84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87
6,209658,26,189,82,1,4,3,81.0,82.0,82.0,84.0,81.0,86.0,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,74,85,77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88
7,228702,24,180,74,1,3,4,81.0,69.0,85.0,88.0,77.0,78.0,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89
8,189509,30,174,70,1,3,5,63.0,72.0,86.0,90.0,70.0,66.0,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86
9,189511,32,189,76,1,3,3,42.0,62.0,79.0,80.0,82.0,75.0,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,84,82,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
10,189513,32,182,74,1,4,3,50.0,83.0,90.0,81.0,71.0,69.0,86,83,61,92,72,82,88,90,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
11,218667,26,173,64,0,3,4,80.0,76.0,83.0,91.0,54.0,67.0,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,49,63,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
12,226161,26,184,74,1,4,3,88.0,80.0,81.0,82.0,78.0,82.0,74,81,67,86,64,82,73,58,83,84,86,90,82,86,69,84,69,90,79,79,83,82,87,86,64,83,79,80,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
13,143076,33,167,68,1,4,4,87.0,78.0,84.0,87.0,39.0,55.0,83,77,38,85,72,85,85,79,80,86,91,83,93,86,93,79,70,75,44,82,56,40,80,86,72,85,50,30,34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82
14,168542,35,173,67,0,2,4,63.0,74.0,87.0,87.0,52.0,53.0,83,72,53,90,82,86,82,77,83,90,70,57,84,85,89,72,61,66,45,73,56,50,86,90,75,91,58,53,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85
