,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique,lf
0,20801,36,187,83,1,4,5,87,94,80,88,34,75,87,95,90,80,86,88,81,84,77,88,85,88,86,94,74,94,95,77,77,93,63,29,95,76,88,95,24,32,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88
1,190871,29,175,68,1,5,5,91,83,86,94,37,63,85,83,63,86,86,95,88,87,81,95,93,89,96,89,84,80,64,81,53,81,63,37,86,90,93,93,35,32,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90
2,231747,22,182,73,1,4,5,97,88,80,92,36,77,78,93,72,85,83,93,80,69,71,91,97,97,92,93,83,86,78,88,77,82,62,38,92,82,79,88,26,34,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90
3,200104,28,183,78,1,5,4,88,87,82,86,43,69,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87
4,208722,29,175,69,1,4,4,91,83,80,89,44,77,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,42,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87
5,202652,26,170,69,1,3,4,91,82,79,87,45,66,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87
6,183898,33,180,69,0,2,5,83,81,86,87,48,69,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,41,55,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85
7,198219,30,163,59,1,4,4,87,78,85,90,36,45,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81,53,24,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85
8,213345,25,180,76,1,3,4,93,76,79,88,30,60,79,75,61,80,77,89,83,70,74,88,94,93,91,85,84,80,73,69,64,73,35,23,85,81,70,78,29,27,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,85
9,183277,30,175,74,1,4,4,84,80,82,88,35,63,77,78,61,85,82,89,83,79,81,88,86,82,87,79,89,82,55,77,61,77,54,41,83,84,87,89,34,27,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,84
10,188567,32,187,80,1,4,4,89,85,75,80,35,69,76,89,73,77,83,79,81,76,64,81,87,91,77,86,67,82,75,79,74,78,43,48,90,77,83,87,20,29,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,82
11,194765,30,176,73,0,3,4,80,84,84,87,52,72,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,43,54,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,85
12,202556,27,176,78,1,3,5,82,83,82,84,30,79,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
13,230142,24,181,79,0,3,3,82,82,81,84,41,63,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83,55,32,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84
14,199434,32,181,76,0,3,4,69,81,85,85,43,76,86,83,66,87,80,85,85,79,80,87,67,70,76,83,84,79,59,88,80,77,56,41,85,88,86,86,51,34,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,83
15,206517,25,180,81,1,3,4,80,76,83,88,46,64,81,77,36,85,72,89,78,74,82,88,81,79,85,79,84,76,36,80,61,80,60,44,81,85,58,88,48,49,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83
16,208574,28,184,82,0,2,3,88,77,82,83,68,80,91,75,59,80,70,85,79,80,75,82,89,88,76,82,79,85,67,90,77,78,80,63,79,81,64,80,69,72,68,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83
17,212188,25,180,76,1,4,3,91,81,70,82,35,70,69,81,76,79,84,82,70,58,55,84,93,89,82,87,76,85,75,83,65,77,63,37,88,68,78,79,39,20,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82
18,237692,21,171,69,0,3,4,84,78,80,87,56,57,75,79,47,84,59,86,73,59,78,88,86,82,90,83,91,82,49,79,44,77,64,59,82,84,64,82,58,59,47,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83
19,169416,32,177,77,0,2,4,80,82,78,84,31,67,78,85,67,81,82,84,84,71,66,85,81,80,80,83,83,76,66,69,70,84,57,37,84,81,72,83,31,22,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83
20,202884,28,186,75,1,4,4,92,64,73,80,78,71,84,60,69,78,59,83,66,41,64,80,94,91,80,82,69,68,69,81,66,68,71,80,77,72,59,69,82,77,75,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,79
21,205632,26,188,84,1,3,4,81,84,78,83,63,84,79,86,77,80,81,85,80,65,72,84,80,82,79,85,61,84,80,91,81,80,82,72,84,79,79,82,58,61,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83
22,211688,26,172,66,0,3,4,83,61,77,80,79,73,80,61,58,81,58,79,80,49,75,82,81,85,82,84,78,62,53,87,66,59,76,80,76,75,52,76,79,82,84,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78
23,220651,24,175,69,0,3,4,78,71,82,84,76,70,88,70,65,81,63,84,83,76,81,84,85,73,83,82,85,80,73,85,60,69,77,80,79,79,55,81,77,74,80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81
24,220834,25,182,76,0,3,4,82,80,81,83,43,62,81,77,57,81,79,84,84,76,80,86,83,81,80,78,75,86,58,76,63,83,45,45,80,81,62,82,40,42,39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82
25,223697,26,183,76,0,3,3,82,75,74,79,77,81,82,79,82,80,71,80,69,58,77,82,79,84,71,86,66,76,88,89,76,68,80,77,86,60,50,77,75,78,79,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
26,235805,23,175,70,1,4,4,91,81,74,85,48,73,73,79,50,78,80,89,78,52,72,82,91,91,87,83,81,86,53,85,71,84,69,30,81,75,62,78,65,44,44,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83
