,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique,rf
0,158023,34,170,72,0,4,4,85,92,91,95,34,65,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,20,35,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,92
1,209331,29,175,71,0,3,4,90,87,81,90,45,75,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88
2,202652,26,170,69,1,3,4,91,82,79,87,45,66,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87
3,183898,33,180,69,0,2,5,83,81,86,87,48,69,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,41,55,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85
4,189596,31,185,76,1,4,3,67,84,83,80,56,71,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,47,57,46,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,83
5,204485,30,179,67,0,4,5,81,79,81,90,38,60,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,45,31,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,85
6,208093,29,180,77,0,4,3,79,86,77,84,46,73,77,89,82,81,81,86,75,62,75,85,80,78,77,89,70,83,76,79,75,83,61,42,87,78,85,78,44,41,41,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83
7,218667,26,173,64,0,3,4,80,76,83,91,54,67,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,49,63,45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85
8,194765,30,176,73,0,3,4,80,84,84,87,52,72,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,43,54,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,85
9,206113,25,176,77,1,4,4,83,84,79,86,43,69,74,86,42,82,83,88,74,62,78,83,90,77,87,86,88,87,65,78,68,82,63,38,86,83,68,80,45,44,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
10,230142,24,181,79,0,3,3,82,82,81,84,41,63,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83,55,32,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84
11,235212,22,181,73,1,4,3,95,71,78,83,76,78,86,73,68,81,60,84,68,55,73,83,95,95,86,84,79,77,80,91,73,70,75,78,78,75,46,80,75,78,76,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83
12,186345,30,173,69,1,4,3,73,63,82,77,80,72,86,54,79,81,58,74,86,82,80,82,74,73,73,81,77,75,78,87,64,70,73,80,76,80,66,77,79,81,80,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,76
13,192629,33,176,67,0,4,3,82,85,79,86,35,63,80,89,77,80,83,87,79,83,73,86,78,86,90,84,72,79,66,69,60,81,63,39,84,81,82,85,39,21,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84
14,208670,28,181,65,0,2,5,78,76,87,83,50,65,88,73,52,86,74,83,90,78,89,85,79,77,85,84,78,83,35,79,58,77,73,52,82,89,67,79,44,56,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83
15,169416,32,177,77,0,2,4,80,82,78,84,31,67,78,85,67,81,82,84,84,71,66,85,81,80,80,83,83,76,66,69,70,84,57,37,84,81,72,83,31,22,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83
16,184432,31,178,77,1,3,2,66,55,76,72,84,76,80,46,77,79,51,68,68,58,80,77,69,63,67,86,73,68,83,77,70,60,87,84,62,72,66,78,85,85,84,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,70
17,192883,32,177,75,1,5,4,85,80,79,83,56,74,77,80,68,83,79,84,81,66,71,83,86,85,84,82,83,84,66,88,69,77,69,60,84,84,72,82,51,53,55,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,83
18,205632,26,188,84,1,3,4,81,84,78,83,63,84,79,86,77,80,81,85,80,65,72,84,80,82,79,85,61,84,80,91,81,80,82,72,84,79,79,82,58,61,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83
19,220834,25,182,76,0,3,4,82,80,81,83,43,62,81,77,57,81,79,84,84,76,80,86,83,81,80,78,75,86,58,76,63,83,45,45,80,81,62,82,40,42,39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82
20,231443,24,178,67,0,5,5,93,77,77,86,36,56,81,75,43,78,76,89,82,64,76,84,94,93,89,78,80,83,58,68,51,76,54,36,77,76,75,80,42,30,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83
21,233064,22,178,70,1,4,3,74,79,84,83,55,65,82,79,59,86,75,82,81,83,83,85,77,71,80,84,76,81,54,86,54,82,68,59,81,83,60,84,54,57,41,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82
22,235805,23,175,70,1,4,4,91,81,74,85,48,73,73,79,50,78,80,89,78,52,72,82,91,91,87,83,81,86,53,85,71,84,69,30,81,75,62,78,65,44,44,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83
23,173731,31,185,82,0,3,4,82,84,82,80,55,70,86,82,84,80,85,80,91,87,79,83,80,83,78,78,64,90,84,61,76,87,64,53,82,79,76,85,50,53,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,82
24,193165,28,173,66,1,5,5,83,67,79,85,74,60,79,66,71,82,74,85,82,67,71,84,86,81,91,84,87,66,71,88,39,63,73,76,79,83,68,87,75,74,72,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81
25,202651,27,176,70,0,3,4,76,76,82,85,32,55,84,72,50,84,72,87,87,81,75,88,78,75,80,78,82,78,50,72,54,87,38,20,75,83,72,77,48,23,18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82
