,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique,rwb
0,235212,22,181,73,1,4,3,95.0,71.0,78.0,83.0,76.0,78.0,86,73,68,81,60,84,68,55,73,83,95,95,86,84,79,77,80,91,73,70,75,78,78,75,46,80,75,78,76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
1,186345,30,173,69,1,4,3,73.0,63.0,82.0,77.0,80.0,72.0,86,54,79,81,58,74,86,82,80,82,74,73,73,81,77,75,78,87,64,70,73,80,76,80,66,77,79,81,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83
2,184432,31,178,77,1,3,2,66.0,55.0,76.0,72.0,84.0,76.0,80,46,77,79,51,68,68,58,80,77,69,63,67,86,73,68,83,77,70,60,87,84,62,72,66,78,85,85,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83
3,203551,30,173,67,1,4,3,76.0,77.0,79.0,80.0,76.0,62.0,77,73,70,83,85,75,73,72,77,85,79,74,86,77,82,82,73,82,50,81,66,77,69,81,74,81,76,76,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81
4,220093,27,185,72,1,3,3,84.0,64.0,72.0,77.0,77.0,79.0,82,64,76,78,58,79,50,30,70,78,80,87,68,79,74,72,74,86,75,58,79,74,84,69,47,77,77,78,77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81
5,226166,23,187,84,1,3,3,80.0,49.0,69.0,73.0,82.0,80.0,74,40,74,73,39,73,69,33,70,74,77,82,67,77,65,67,90,79,79,52,83,83,60,64,45,73,82,85,82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81
6,235374,27,174,67,1,3,3,92.0,62.0,76.0,82.0,70.0,65.0,83,67,44,78,59,82,68,58,75,81,93,92,89,78,89,53,39,86,56,57,66,73,74,74,55,76,72,75,69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
7,238074,21,178,87,1,3,3,80.0,58.0,77.0,77.0,76.0,80.0,86,48,69,79,46,77,82,76,71,80,78,81,72,75,85,75,73,79,83,66,74,75,66,70,50,72,77,80,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81
8,210455,27,170,70,1,3,3,75.0,53.0,71.0,76.0,79.0,69.0,78,49,69,76,44,76,66,54,64,77,76,74,71,78,80,68,76,78,59,47,82,79,67,68,46,74,79,81,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80
9,222331,25,187,88,1,3,2,85.0,51.0,64.0,71.0,82.0,77.0,72,59,78,74,41,71,45,22,63,73,81,89,63,81,60,58,82,82,76,31,72,81,70,55,26,68,84,81,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82
