,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185)
0,213655,21,180,75,1,3,3,78,61,66,82,28,65,52,63,42,80,48,83,50,40,57,83,79,78,77,72,76,67,50,70,72,54,46,24,68,75,56,70,29,26,23,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,179613,29,183,90,0,3,3,74,71,69,74,39,76,75,66,61,67,68,76,74,73,63,73,73,74,72,67,67,79,60,64,84,75,75,40,72,69,70,69,37,33,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,198784,23,175,70,1,4,4,88,70,74,84,52,71,75,68,39,78,58,85,67,53,73,82,87,88,84,74,88,75,66,76,70,74,66,51,74,72,69,73,52,57,54,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,178567,28,183,84,0,2,2,66,40,65,67,78,78,58,32,73,75,34,64,67,56,60,73,63,69,65,71,57,51,68,75,77,36,85,77,61,61,65,67,77,80,81,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,231677,19,185,70,1,4,4,92,76,72,82,34,74,72,79,68,74,71,83,74,73,65,79,93,92,90,76,78,82,63,83,73,66,67,42,81,73,74,74,22,32,25,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,204884,22,185,85,0,3,2,82,48,70,75,74,79,82,33,64,76,20,76,77,29,68,76,79,84,68,76,71,68,69,82,81,63,75,76,70,58,40,70,73,76,78,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6,225782,19,177,71,1,4,3,74,53,62,65,57,66,60,51,38,68,39,65,44,36,66,63,77,72,74,62,70,58,58,72,68,54,55,61,56,60,54,55,57,59,58,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7,169638,30,178,75,0,3,2,76,55,72,74,72,70,74,50,64,73,45,74,67,68,69,74,77,75,73,70,72,68,78,79,72,47,51,71,71,71,72,69,72,76,74,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,190717,27,180,80,1,4,4,85,74,70,81,52,82,73,74,88,73,69,83,66,60,67,78,82,87,86,76,76,76,84,78,86,72,75,40,77,65,73,70,44,56,53,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,186146,26,185,73,1,3,3,84,74,71,79,37,78,69,75,75,76,76,80,61,62,64,78,83,84,82,78,63,77,80,81,78,69,75,32,80,72,70,76,28,38,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,215639,21,182,77,0,3,3,80,66,64,76,49,64,63,64,66,66,55,77,60,54,65,77,83,78,84,67,62,75,69,73,70,66,34,52,67,65,67,66,43,48,44,0,0,0,0,0,1,0,0,0,0,1,0,0,0
11,216267,23,178,64,0,2,2,80,60,67,75,72,71,78,60,65,68,32,74,71,30,59,75,78,82,81,71,74,67,55,81,68,61,69,73,64,69,55,67,72,74,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12,172175,29,182,72,1,4,4,83,77,77,83,46,65,81,77,64,80,76,84,77,76,77,85,82,84,82,76,73,77,73,76,62,76,58,35,80,67,78,74,40,52,51,0,0,1,0,0,0,0,1,0,0,0,0,0,0
13,205923,24,182,76,0,3,2,76,54,71,74,78,73,77,55,66,75,37,73,64,48,68,77,78,74,72,73,65,60,70,80,73,48,67,76,64,70,54,73,80,80,81,0,0,0,1,0,0,0,0,0,0,1,0,0,0
