,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Medium,work_rate_Medium/High,work_rate_Medium/Medium,body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-185)
0,201118,25,172,67,1,4,2,82.0,67.0,72.0,76.0,76.0,72.0,81,57,65,75,68,76,66,64,69,76,84,80,76,76,83,80,73,88,63,78,75,76,71,65,60,69,76,78,79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,167905,31,180,83,1,1,3,87.0,65.0,75.0,81.0,78.0,85.0,85,58,64,77,69,82,69,66,69,81,88,87,75,86,83,85,70,90,85,62,83,80,75,71,55,82,78,83,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,203783,25,186,84,1,3,2,74.0,34.0,67.0,65.0,70.0,73.0,74,38,65,68,20,65,59,41,62,67,76,73,60,72,63,29,64,79,71,22,71,67,67,68,41,63,71,73,69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,188166,26,183,75,1,4,3,87.0,71.0,69.0,78.0,35.0,71.0,77,69,54,68,45,82,72,48,67,74,88,86,78,65,71,80,54,74,78,74,55,28,72,70,61,67,29,40,34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4,192838,28,187,76,1,3,3,78.0,61.0,67.0,71.0,71.0,81.0,74,52,64,68,59,71,67,57,65,72,74,82,71,73,65,75,72,90,75,67,85,73,73,62,54,66,68,74,76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,207807,23,163,60,1,4,3,88.0,64.0,68.0,76.0,42.0,55.0,72,67,25,69,43,76,70,67,54,71,89,88,92,64,93,60,61,72,41,69,65,35,69,70,56,68,53,43,37,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,153938,34,178,82,1,3,3,50.0,59.0,71.0,72.0,79.0,72.0,80,56,76,70,43,73,63,57,71,75,53,47,68,75,55,66,75,67,76,59,68,82,65,71,59,76,78,80,77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,192985,26,181,68,1,4,4,75.0,84.0,88.0,85.0,45.0,75.0,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,142784,32,178,74,1,3,3,61.0,56.0,70.0,73.0,81.0,78.0,74,49,75,72,53,73,68,66,64,75,61,61,69,85,66,66,84,69,78,57,89,84,71,66,64,76,78,83,82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,186598,28,180,73,1,3,3,74.0,52.0,65.0,67.0,74.0,70.0,71,45,70,73,52,64,43,28,66,68,74,74,71,70,70,68,73,74,68,52,68,73,54,59,47,67,71,78,79,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,210972,23,180,72,1,3,2,76.0,45.0,65.0,71.0,73.0,72.0,79,32,63,73,37,71,75,51,66,73,78,74,74,69,64,69,68,89,66,44,67,69,69,39,46,64,73,78,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,190885,26,180,78,1,3,3,76.0,55.0,69.0,73.0,71.0,69.0,72,43,56,72,40,74,59,66,61,72,77,75,74,73,69,72,53,76,68,68,67,70,63,69,48,72,72,75,72,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
