,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
148,177358,https://sofifa.com/player/177358/morgan-schneiderlin/180002,M. Schneiderlin,Morgan Schneiderlin,"CDM, CM",83,85,25500000.0,110000.0,27,1989-11-08,181,75,7.0,Everton,English Premier League,1.0,SUB,2.0,,2017-01-12,2021.0,18,France,,,,Right,3,2,2,Medium/High,Normal (170-185),Yes,50400000.0,,Dives Into Tackles (AI),68.0,62.0,76.0,77.0,79.0,81.0,65,61,71,86,56,74,68,61,80,84,67,68,73,81,71,71,70,89,77,56,83,84,65,73,56,83,76,82,80,6,11,12,14,7,,71+1,71+1,71+1,72,73,73,73,72,75+1,75+1,75+1,75+1,79+1,79+1,79+1,75+1,79+1,82+1,82+1,82+1,79+1,79+1,79+1,79+1,79+1,79+1,17+1,https://cdn.sofifa.net/players/177/358/18_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/fr.png
121,208722,https://sofifa.com/player/208722/sadio-mane/180002,S. Mané,Sadio Mané,"RW, LW",84,87,39000000.0,170000.0,25,1992-04-10,175,69,9.0,Liverpool,English Premier League,1.0,LW,19.0,,2016-07-01,2020.0,136,Senegal,,,,Right,3,4,3,High/Medium,Normal (170-185),Yes,77000000.0,"#Speedster, #Dribbler, #Acrobat","Diver, Beat Offside Trap, Flair, Speed Dribbler (AI)",93.0,78.0,75.0,85.0,36.0,75.0,72,83,53,77,68,86,74,64,71,84,94,92,89,80,85,77,75,82,72,69,73,31,84,78,71,78,33,35,38,10,10,15,7,14,,79+2,79+2,79+2,83+1,82+1,82+1,82+1,83+1,81+2,81+2,81+2,82+2,74+2,74+2,74+2,82+2,63+2,60+2,60+2,60+2,63+2,60+2,51+2,51+2,51+2,60+2,18+2,https://cdn.sofifa.net/players/208/722/18_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
2467,213655,https://sofifa.com/player/213655/alex-iwobi/180002,A. Iwobi,Alex Iwobi,LM,74,85,9500000.0,60000.0,21,1996-05-03,180,75,1.0,Arsenal,English Premier League,1.0,SUB,17.0,,2013-07-01,2020.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,19500000.0,,"Flair, Technical Dribbler (AI)",78.0,61.0,66.0,82.0,28.0,65.0,52,63,42,80,48,83,50,40,57,83,79,78,77,72,76,67,50,70,72,54,46,24,68,75,56,70,29,26,23,14,7,12,14,11,,68+1,68+1,68+1,73,74,74,74,73,75+1,75+1,75+1,73+1,68+1,68+1,68+1,73+1,54+1,53+1,53+1,53+1,54+1,50+1,43+1,43+1,43+1,50+1,18+1,https://cdn.sofifa.net/players/213/655/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
667,211381,https://sofifa.com/player/211381/sofiane-boufal/180002,S. Boufal,Sofiane Boufal,"LW, RW, CAM",79,84,17000000.0,90000.0,23,1993-09-17,170,60,17.0,Southampton,English Premier League,1.0,SUB,19.0,,2016-08-29,2021.0,129,Morocco,,,,Right,4,5,2,High/Low,Lean (170-),Yes,33600000.0,"#Dribbler, #Acrobat","Diver, Injury Prone, Selfish, Flair, Technical Dribbler (AI)",82.0,71.0,73.0,86.0,36.0,43.0,70,72,35,76,70,87,71,69,66,86,83,81,90,70,85,71,33,67,31,69,47,19,76,77,69,69,44,40,32,9,16,10,14,7,,70+1,70+1,70+1,79,77,77,77,79,78+1,78+1,78+1,78+1,71+1,71+1,71+1,78+1,59+1,54+1,54+1,54+1,59+1,55+1,42+1,42+1,42+1,55+1,18+1,https://cdn.sofifa.net/players/211/381/18_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ma.png
1596,54051,https://sofifa.com/player/54051/wayne-routledge/180002,W. Routledge,Wayne Routledge,"RM, RW, LM",75,75,5000000.0,60000.0,32,1985-01-07,170,77,1960.0,Swansea City,English Premier League,1.0,SUB,15.0,,2011-08-01,2019.0,14,England,,,,Right,2,4,2,High/High,Stocky (170-),Yes,9500000.0,,"Avoids Using Weaker Foot, Outside Foot Shot",72.0,66.0,70.0,81.0,36.0,61.0,74,69,34,73,71,83,61,28,72,77,71,72,79,73,87,68,71,68,67,55,36,39,72,74,63,69,30,37,46,15,11,8,10,15,,68+1,68+1,68+1,74,73,73,73,74,74+1,74+1,74+1,74+1,70+1,70+1,70+1,74+1,60+1,57+1,57+1,57+1,60+1,56+1,47+1,47+1,47+1,56+1,19+1,https://cdn.sofifa.net/players/054/051/18_120.png,https://cdn.sofifa.net/teams/1960/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1069,194958,https://sofifa.com/player/194958/aaron-mooy/180002,A. Mooy,Aaron Frank Mooy,"CM, CDM, CAM",77,80,11000000.0,50000.0,26,1990-09-15,174,78,1939.0,Huddersfield Town,English Premier League,1.0,LDM,10.0,,2017-06-30,2020.0,195,Australia,1415.0,LCM,13.0,Right,4,3,1,Medium/Medium,Normal (170-185),No,22800000.0,,"Injury Free, Playmaker (AI)",69.0,70.0,77.0,74.0,66.0,76.0,73,69,50,79,65,74,71,71,79,77,67,70,71,69,73,71,72,78,76,72,75,70,73,80,70,78,61,72,66,11,8,12,11,12,,70+1,70+1,70+1,73,73,73,73,73,75+1,75+1,75+1,74+1,76+1,76+1,76+1,74+1,72+1,73+1,73+1,73+1,72+1,70+1,68+1,68+1,68+1,70+1,17+1,https://cdn.sofifa.net/players/194/958/18_120.png,https://cdn.sofifa.net/teams/1939/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1415/60.png,https://cdn.sofifa.net/flags/au.png
1994,225719,https://sofifa.com/player/225719/kelechi-iheanacho/180002,K. Iheanacho,Kelechi Promise Iheanacho,ST,75,86,11500000.0,50000.0,20,1996-10-03,185,82,95.0,Leicester City,English Premier League,1.0,SUB,8.0,,2017-08-03,2022.0,133,Nigeria,,,,Left,3,3,1,High/Medium,Normal (185+),Yes,24200000.0,,"Avoids Using Weaker Foot, Beat Offside Trap, Finesse Shot",84.0,75.0,60.0,74.0,22.0,68.0,48,79,60,66,69,73,67,53,58,75,84,84,78,70,68,76,58,68,74,66,56,17,79,65,74,72,15,22,12,8,7,7,11,15,,74+1,74+1,74+1,72,74,74,74,72,72+1,72+1,72+1,70+1,63+1,63+1,63+1,70+1,48+1,47+1,47+1,47+1,48+1,45+1,40+1,40+1,40+1,45+1,17+1,https://cdn.sofifa.net/players/225/719/18_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
1284,169792,https://sofifa.com/player/169792/jay-rodriguez/180002,J. Rodriguez,Jay Rodriguez,"LM, ST",76,76,8000000.0,70000.0,27,1989-07-29,185,80,109.0,West Bromwich Albion,English Premier League,1.0,LM,19.0,,2017-07-02,2021.0,14,England,,,,Right,4,3,2,High/Medium,Lean (185+),Yes,15200000.0,,"Diver, Injury Prone, Beat Offside Trap, Long Shot Taker (AI), Speed Dribbler (AI)",77.0,75.0,68.0,76.0,32.0,67.0,68,77,76,75,74,77,69,29,66,75,76,78,75,77,64,74,81,76,71,72,41,44,80,69,71,75,16,28,21,12,12,16,14,9,,76,76,76,75,76,76,76,75,75+1,75+1,75+1,75+1,70+1,70+1,70+1,75+1,57+1,54+1,54+1,54+1,57+1,54+1,47+1,47+1,47+1,54+1,19+1,https://cdn.sofifa.net/players/169/792/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
20,41236,https://sofifa.com/player/41236/zlatan-ibrahimovic/180002,Z. Ibrahimović,Zlatan Ibrahimović,ST,88,88,27000000.0,225000.0,35,1981-10-03,195,95,11.0,Manchester United,English Premier League,1.0,RES,10.0,,2016-07-01,2018.0,46,Sweden,,,,Right,4,4,5,Medium/Low,Normal (185+),Yes,50000000.0,"#Poacher, #Aerial Threat, #Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward","Flair, Long Shot Taker (AI), Power Header, Technical Dribbler (AI), Backs Into Player, Target Forward",65.0,88.0,81.0,82.0,32.0,82.0,76,87,80,84,90,82,82,82,76,88,63,67,81,86,41,91,69,71,88,85,84,20,86,83,91,91,15,41,27,13,15,10,9,12,,84+4,84+4,84+4,82+3,83+3,83+3,83+3,82+3,83+4,83+4,83+4,80+4,78+4,78+4,78+4,80+4,58+4,60+4,60+4,60+4,58+4,54+4,52+4,52+4,52+4,54+4,20+4,https://cdn.sofifa.net/players/041/236/18_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/se.png
2358,200521,https://sofifa.com/player/200521/tom-ince/180002,T. Ince,Thomas Ince,"RW, LW, CAM",74,77,7000000.0,50000.0,25,1992-01-30,178,66,1939.0,Huddersfield Town,English Premier League,1.0,LM,22.0,,2017-07-04,2020.0,14,England,,,,Left,3,4,1,Medium/Medium,Lean (170-185),Yes,14500000.0,,"Flair, Technical Dribbler (AI), Set Play Specialist, Takes Finesse Free Kicks",79.0,69.0,68.0,77.0,26.0,53.0,71,71,40,67,44,77,75,73,59,76,81,77,87,68,81,70,55,68,52,71,38,30,73,70,68,67,22,24,21,9,12,15,8,8,,68+1,68+1,68+1,74,72,72,72,74,72+1,72+1,72+1,72+1,65+1,65+1,65+1,72+1,54+1,49+1,49+1,49+1,54+1,49+1,38+1,38+1,38+1,49+1,16+1,https://cdn.sofifa.net/players/200/521/18_120.png,https://cdn.sofifa.net/teams/1939/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
