,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
1058,193011,https://sofifa.com/player/193011/steve-cook/180002,S. Cook,Steve Cook,CB,77,81,9500000.0,60000.0,26,1991-04-19,185,82,1943.0,AFC Bournemouth,English Premier League,1.0,RCB,3.0,,2012-01-01,2021.0,14,England,,,,Right,3,2,1,Medium/High,Normal (185+),Yes,18800000.0,,"Long Throw-in, Injury Free, Avoids Using Weaker Foot",56.0,27.0,51.0,60.0,77.0,77.0,40,24,74,71,31,54,22,22,62,68,60,53,56,75,69,47,72,68,82,16,77,76,15,35,20,70,79,78,75,14,12,7,14,12,,49+1,49+1,49+1,49,48,48,48,49,51+1,51+1,51+1,53+1,58+1,58+1,58+1,53+1,67+1,72+1,72+1,72+1,67+1,69+1,76+1,76+1,76+1,69+1,20+1,https://cdn.sofifa.net/players/193/011/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1827,199915,https://sofifa.com/player/199915/lewis-dunk/180002,L. Dunk,Lewis Dunk,CB,75,80,7500000.0,40000.0,25,1991-11-21,192,88,1808.0,Brighton & Hove Albion,English Premier League,1.0,LCB,5.0,,2010-07-01,2022.0,14,England,,,,Right,3,2,1,High/Medium,Normal (185+),No,15600000.0,,"Dives Into Tackles (AI), Long Passer (AI), Power Header",50.0,32.0,50.0,59.0,74.0,79.0,27,37,75,66,24,58,23,28,68,62,45,54,52,72,44,42,64,70,84,12,80,78,23,45,36,66,71,74,73,15,16,9,12,6,,50+1,50+1,50+1,48,50,50,50,48,52+1,52+1,52+1,52+1,59+1,59+1,59+1,52+1,63+1,70+1,70+1,70+1,63+1,65+1,74+1,74+1,74+1,65+1,19+1,https://cdn.sofifa.net/players/199/915/18_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
96,165229,https://sofifa.com/player/165229/laurent-koscielny/180002,L. Koscielny,Laurent Koscielny,CB,84,84,21000000.0,150000.0,31,1985-09-10,186,75,1.0,Arsenal,English Premier League,1.0,RCB,6.0,,2010-07-07,2020.0,18,France,1335.0,SUB,21.0,Right,3,2,3,Medium/High,Lean (185+),Yes,38900000.0,#Tactician ,Power Header,75.0,41.0,62.0,65.0,85.0,78.0,52,32,81,76,35,62,22,49,69,67,74,76,68,82,62,54,82,75,76,47,88,86,39,56,51,75,83,87,84,13,11,9,11,7,,58+2,58+2,58+2,60+1,60+1,60+1,60+1,60+1,62+2,62+2,62+2,63+2,67+2,67+2,67+2,63+2,76+2,78+2,78+2,78+2,76+2,78+2,82+2,82+2,82+2,78+2,18+2,https://cdn.sofifa.net/players/165/229/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
1698,178567,https://sofifa.com/player/178567/erik-pieters/180002,E. Pieters,Erik Pieters,"LB, LWB",75,75,5500000.0,50000.0,28,1988-08-07,183,84,1806.0,Stoke City,English Premier League,1.0,LWB,3.0,,2013-07-01,2020.0,34,Netherlands,,,,Left,2,2,2,Medium/Medium,Normal (170-185),Yes,10500000.0,,Avoids Using Weaker Foot,66.0,40.0,65.0,67.0,78.0,78.0,58,32,73,75,34,64,67,56,60,73,63,69,65,71,57,51,68,75,77,36,85,77,61,61,65,67,77,80,81,16,15,8,12,10,,59+1,59+1,59+1,62,61,61,61,62,63+1,63+1,63+1,64+1,67+1,67+1,67+1,64+1,73+1,74+1,74+1,74+1,73+1,74+1,77-2,77-2,77-2,74+1,19+1,https://cdn.sofifa.net/players/178/567/18_120.png,https://cdn.sofifa.net/teams/1806/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/nl.png
5170,194146,https://sofifa.com/player/194146/kevin-long/180002,K. Long,Kevin Long,CB,70,73,1800000.0,30000.0,26,1990-08-18,187,82,1796.0,Burnley,English Premier League,1.0,SUB,28.0,,2010-01-25,2020.0,25,Republic of Ireland,,,,Right,2,2,1,Low/Medium,Normal (185+),Yes,3600000.0,,,63.0,35.0,43.0,52.0,70.0,76.0,38,29,72,51,26,49,38,32,50,52,66,61,61,66,57,56,80,72,78,27,74,69,48,34,32,65,69,71,70,8,14,7,8,7,,52+1,52+1,52+1,48,49,49,49,48,48+1,48+1,48+1,50+1,51+1,51+1,51+1,50+1,61+1,62+1,62+1,62+1,61+1,64+1,69+1,69+1,69+1,64+1,15+1,https://cdn.sofifa.net/players/194/146/18_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ie.png
211,163824,https://sofifa.com/player/163824/ashley-williams/180002,A. Williams,Ashley Williams,CB,82,82,12500000.0,110000.0,32,1984-08-23,183,77,7.0,Everton,English Premier League,1.0,CB,5.0,,2016-08-10,2019.0,50,Wales,1367.0,CB,6.0,Right,4,2,3,Medium/High,Normal (170-185),Yes,23800000.0,,"Injury Free, Leadership, Long Passer (AI)",65.0,43.0,56.0,61.0,81.0,81.0,32,37,78,71,34,57,34,23,74,66,62,67,58,80,59,64,82,70,86,40,83,82,28,53,45,73,80,84,80,7,10,16,7,10,,57+2,57+2,57+2,54+1,56+1,56+1,56+1,54+1,58+2,58+2,58+2,57+2,65+2,65+2,65+2,57+2,69+2,76+2,76+2,76+2,69+2,72+2,80+2,80+2,80+2,72+2,17+2,https://cdn.sofifa.net/players/163/824/18_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
340,189881,https://sofifa.com/player/189881/chris-smalling/180002,C. Smalling,Chris Smalling,CB,81,82,17000000.0,120000.0,27,1989-11-22,194,81,11.0,Manchester United,English Premier League,1.0,SUB,12.0,,2010-07-01,2019.0,14,England,1318.0,SUB,12.0,Right,3,2,3,Medium/High,Normal (185+),Yes,32700000.0,#Aerial Threat,Injury Prone,72.0,46.0,56.0,59.0,81.0,83.0,52,50,83,66,54,59,49,22,63,58,69,75,60,78,48,42,75,77,87,35,83,79,48,49,52,71,80,82,80,10,15,16,15,15,,60+2,60+2,60+2,58+1,58+1,58+1,58+1,58+1,58+2,58+2,58+2,61+2,62+2,62+2,62+2,61+2,71+2,73+2,73+2,73+2,71+2,74+2,79+2,79+2,79+2,74+2,21+2,https://cdn.sofifa.net/players/189/881/18_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
123,212218,https://sofifa.com/player/212218/aymeric-laporte/180002,A. Laporte,Aymeric Laporte,CB,84,89,35500000.0,40000.0,23,1994-05-27,189,85,448.0,Athletic Club de Bilbao,Spain Primera Division,1.0,LCB,4.0,,2012-10-01,2020.0,18,France,,,,Left,2,2,2,Medium/Medium,Normal (185+),Yes,77200000.0,#Tackling ,,69.0,50.0,66.0,61.0,86.0,78.0,58,45,85,73,40,55,62,77,78,71,68,70,49,82,55,70,77,71,84,47,72,85,54,52,35,74,86,88,85,10,11,5,14,5,,64+1,64+1,64+1,61,62,62,62,61,62+1,62+1,62+1,64+1,69+1,69+1,69+1,64+1,75+1,79+1,79+1,79+1,75+1,78+1,83+1,83+1,83+1,78+1,18+1,https://cdn.sofifa.net/players/212/218/18_120.png,https://cdn.sofifa.net/teams/448/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/fr.png
1655,163418,https://sofifa.com/player/163418/younes-kaboul/180002,Y. Kaboul,Younès Kaboul,CB,75,75,4500000.0,40000.0,31,1986-01-04,193,87,1795.0,Watford,English Premier League,1.0,RCB,4.0,,2016-08-19,2019.0,18,France,,,,Right,3,2,2,High/Medium,Normal (185+),Yes,8500000.0,,"Power Free-Kick, Injury Prone",52.0,44.0,56.0,55.0,74.0,79.0,56,21,80,64,34,52,44,43,54,59,46,57,53,66,46,82,78,67,85,56,81,74,51,51,54,65,72,75,74,9,14,7,9,6,,56+1,56+1,56+1,52,54,54,54,52,54+1,54+1,54+1,54+1,59+1,59+1,59+1,54+1,65+1,68+1,68+1,68+1,65+1,67+1,74+1,74+1,74+1,67+1,16+1,https://cdn.sofifa.net/players/163/418/18_120.png,https://cdn.sofifa.net/teams/1795/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/fr.png
18,192985,https://sofifa.com/player/192985/kevin-de-bruyne/180002,K. De Bruyne,Kevin De Bruyne,"CAM, CM, RM",89,92,83000000.0,275000.0,26,1991-06-28,181,68,10.0,Manchester City,English Premier League,1.0,RCM,17.0,,2015-08-30,2021.0,7,Belgium,1325.0,RCM,7.0,Right,4,4,4,High/High,Normal (170-185),Yes,159800000.0,"#Playmaker, #Engine, #Crosser, #Complete Midfielder","Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Set Play Specialist",75.0,84.0,88.0,85.0,45.0,75.0,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40,15,13,5,10,13,,81+3,81+3,81+3,85+2,85+2,85+2,85+2,85+2,86+3,86+3,86+3,85+3,84+3,84+3,84+3,85+3,71+3,70+3,70+3,70+3,71+3,66+3,57+3,57+3,57+3,66+3,21+3,https://cdn.sofifa.net/players/192/985/18_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
