,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
271,204277,https://sofifa.com/player/204277/roque-mesa-quevedo/180002,Roque Mesa,Roque Mesa Quevedo,"CDM, CM",82,82,18000000.0,80000.0,28,1989-06-07,171,74,1960.0,Swansea City,English Premier League,1.0,CDM,51.0,,2017-07-06,2021.0,45,Spain,,,,Right,3,2,2,High/High,Stocky (170-185),No,34200000.0,#Engine,Playmaker (AI),77.0,61.0,76.0,77.0,73.0,80.0,67,67,32,89,34,72,46,48,80,82,76,78,77,79,89,63,77,92,69,54,92,81,67,75,42,79,72,79,80,15,8,7,11,9,,67+1,67+1,67+1,74,73,73,73,74,76+1,76+1,76+1,77+1,79+1,79+1,79+1,77+1,80+1,81+1,81+1,81+1,80+1,78+1,74+1,74+1,74+1,78+1,18+1,https://cdn.sofifa.net/players/204/277/18_120.png,https://cdn.sofifa.net/teams/1960/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/es.png
1041,189165,https://sofifa.com/player/189165/jonjo-shelvey/180002,J. Shelvey,Jonjo Shelvey,"CM, CDM",77,82,11500000.0,70000.0,25,1992-02-27,185,80,13.0,Newcastle United,English Premier League,1.0,RCM,8.0,,2016-01-12,2021.0,14,England,,,,Right,3,2,2,Low/Medium,Normal (185+),Yes,22700000.0,,"Dives Into Tackles (AI), Long Passer (AI), Long Shot Taker (AI)",62.0,73.0,79.0,73.0,60.0,77.0,73,67,69,82,56,74,66,73,84,75,61,62,62,72,65,85,65,77,76,81,83,58,70,80,71,75,55,64,59,14,11,15,8,16,,72+1,72+1,72+1,72,73,73,73,72,75+1,75+1,75+1,73+1,76+1,76+1,76+1,73+1,68+1,71+1,71+1,71+1,68+1,66+1,66+1,66+1,66+1,66+1,19+1,https://cdn.sofifa.net/players/189/165/18_120.png,https://cdn.sofifa.net/teams/13/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1869,205897,https://sofifa.com/player/205897/nathaniel-chalobah/180002,N. Chalobah,Nathaniel Chalobah,"CDM, CM",75,84,9000000.0,40000.0,22,1994-12-12,185,76,1795.0,Watford,English Premier League,1.0,LDM,14.0,,2017-07-13,2022.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),Yes,18900000.0,,,67.0,61.0,70.0,72.0,72.0,73.0,58,55,71,77,53,70,51,38,79,76,69,65,74,69,58,71,71,72,75,67,72,70,62,76,49,71,72,74,71,12,9,15,8,8,,67+1,67+1,67+1,68,69,69,69,68,71+1,71+1,71+1,69+1,73+1,73+1,73+1,69+1,70+1,74+1,74+1,74+1,70+1,70+1,72+1,72+1,72+1,70+1,16+1,https://cdn.sofifa.net/players/205/897/18_120.png,https://cdn.sofifa.net/teams/1795/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
10542,225782,https://sofifa.com/player/225782/ainsley-maitland-niles/180002,A. Maitland-Niles,Ainsley Maitland-Niles,"RM, CM",65,78,1000000.0,15000.0,19,1997-08-29,177,71,1.0,Arsenal,English Premier League,1.0,SUB,30.0,,2014-10-24,2019.0,14,England,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,2500000.0,,,74.0,53.0,62.0,65.0,57.0,66.0,60,51,38,68,39,65,44,36,66,63,77,72,74,62,70,58,58,72,68,54,55,61,56,60,54,55,57,59,58,15,9,7,10,13,,58+1,58+1,58+1,63,61,61,61,63,63+1,63+1,63+1,64+1,63+1,63+1,63+1,64+1,64+1,63+1,63+1,63+1,64+1,62+1,58+1,58+1,58+1,62+1,17+1,https://cdn.sofifa.net/players/225/782/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1092,200054,https://sofifa.com/player/200054/pedro-mba-obiang-avomo/180002,Pedro Obiang,Pedro Mba Obiang Avomo,"CDM, CM",77,82,10000000.0,80000.0,25,1992-03-27,185,75,19.0,West Ham United,English Premier League,1.0,LDM,14.0,,2015-07-01,2022.0,45,Spain,,,,Right,3,2,2,Medium/High,Lean (185+),Yes,19800000.0,,Playmaker (AI),68.0,59.0,75.0,74.0,75.0,77.0,68,50,70,80,60,74,56,62,79,78,67,69,71,69,63,74,74,77,79,63,71,76,62,78,58,79,70,79,77,9,7,7,6,7,,67+1,67+1,67+1,70,70,70,70,70,72+1,72+1,72+1,72+1,75+1,75+1,75+1,72+1,74+1,76+1,76+1,76+1,74+1,74+1,75+1,75+1,75+1,74+1,14+1,https://cdn.sofifa.net/players/200/054/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/es.png
211,163824,https://sofifa.com/player/163824/ashley-williams/180002,A. Williams,Ashley Williams,CB,82,82,12500000.0,110000.0,32,1984-08-23,183,77,7.0,Everton,English Premier League,1.0,CB,5.0,,2016-08-10,2019.0,50,Wales,1367.0,CB,6.0,Right,4,2,3,Medium/High,Normal (170-185),Yes,23800000.0,,"Injury Free, Leadership, Long Passer (AI)",65.0,43.0,56.0,61.0,81.0,81.0,32,37,78,71,34,57,34,23,74,66,62,67,58,80,59,64,82,70,86,40,83,82,28,53,45,73,80,84,80,7,10,16,7,10,,57+2,57+2,57+2,54+1,56+1,56+1,56+1,54+1,58+2,58+2,58+2,57+2,65+2,65+2,65+2,57+2,69+2,76+2,76+2,76+2,69+2,72+2,80+2,80+2,80+2,72+2,17+2,https://cdn.sofifa.net/players/163/824/18_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
568,176944,https://sofifa.com/player/176944/marouane-fellaini/180002,M. Fellaini,Marouane Fellaini-Bakkioui,"CDM, CM",79,79,10000000.0,130000.0,29,1987-11-22,194,85,11.0,Manchester United,English Premier League,1.0,SUB,27.0,,2013-09-02,2018.0,7,Belgium,1325.0,SUB,8.0,Right,3,3,3,Medium/Medium,Lean (185+),Yes,18500000.0,"#Aerial Threat, #Strength","Dives Into Tackles (AI), Power Header, Backs Into Player, Target Forward",50.0,72.0,70.0,73.0,75.0,89.0,61,72,91,81,71,73,64,46,66,84,50,50,49,81,52,75,63,83,92,68,94,74,80,72,64,78,71,76,66,8,6,9,15,16,,77+2,77+2,77+2,71+1,75+1,75+1,75+1,71+1,74+2,74+2,74+2,72+2,77+2,77+2,77+2,72+2,72+2,77+2,77+2,77+2,72+2,72+2,78+1,78+1,78+1,72+2,19+2,https://cdn.sofifa.net/players/176/944/18_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
1021,184716,https://sofifa.com/player/184716/joe-allen/180002,J. Allen,Joseph Michael Allen,"CM, CAM",77,78,10000000.0,70000.0,27,1990-03-14,168,62,1806.0,Stoke City,English Premier League,1.0,LCM,4.0,,2016-07-26,2021.0,50,Wales,1367.0,RCM,7.0,Right,3,3,2,Medium/Medium,Lean (170-),Yes,19800000.0,,,62.0,63.0,73.0,77.0,70.0,70.0,68,68,44,82,38,75,58,50,75,77,65,60,78,82,90,63,78,86,59,60,74,76,69,72,52,81,68,77,70,10,13,12,6,8,,67+1,67+1,67+1,72,72,72,72,72,74+1,74+1,74+1,74+1,76+1,76+1,76+1,74+1,75+1,76+1,76+1,76+1,75+1,73+1,70+1,70+1,70+1,73+1,17+1,https://cdn.sofifa.net/players/184/716/18_120.png,https://cdn.sofifa.net/teams/1806/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
18,192985,https://sofifa.com/player/192985/kevin-de-bruyne/180002,K. De Bruyne,Kevin De Bruyne,"CAM, CM, RM",89,92,83000000.0,275000.0,26,1991-06-28,181,68,10.0,Manchester City,English Premier League,1.0,RCM,17.0,,2015-08-30,2021.0,7,Belgium,1325.0,RCM,7.0,Right,4,4,4,High/High,Normal (170-185),Yes,159800000.0,"#Playmaker, #Engine, #Crosser, #Complete Midfielder","Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Set Play Specialist",75.0,84.0,88.0,85.0,45.0,75.0,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40,15,13,5,10,13,,81+3,81+3,81+3,85+2,85+2,85+2,85+2,85+2,86+3,86+3,86+3,85+3,84+3,84+3,84+3,85+3,71+3,70+3,70+3,70+3,71+3,66+3,57+3,57+3,57+3,66+3,21+3,https://cdn.sofifa.net/players/192/985/18_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
1153,211454,https://sofifa.com/player/211454/mohamed-elneny/180002,M. Elneny,Mohamed Naser Elsayed Elneny,"CDM, CM",77,81,10000000.0,80000.0,24,1992-07-11,180,70,1.0,Arsenal,English Premier League,1.0,SUB,35.0,,2016-01-14,2020.0,111,Egypt,111130.0,RDM,17.0,Right,3,3,1,Medium/High,Lean (170-185),Yes,19300000.0,,Injury Free,60.0,61.0,73.0,70.0,72.0,78.0,67,57,57,79,39,68,69,61,73,76,58,61,67,75,62,71,70,92,73,67,74,76,63,70,62,77,70,75,72,7,15,15,12,6,,65+1,65+1,65+1,68,68,68,68,68,70+1,70+1,70+1,70+1,74+1,74+1,74+1,70+1,74+1,76+1,76+1,76+1,74+1,73+1,72+1,72+1,72+1,73+1,17+1,https://cdn.sofifa.net/players/211/454/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/111130/60.png,https://cdn.sofifa.net/flags/eg.png
