,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
2773,178287,https://sofifa.com/player/178287/scott-arfield/180002,S. Arfield,Scott Harry Nathaniel Arfield,"LM, CM",73,73,4000000.0,50000.0,28,1988-11-01,178,70,1796.0,Burnley,English Premier League,1.0,SUB,37.0,,2013-07-19,2018.0,70,Canada,111455.0,LCM,8.0,Right,3,3,1,High/High,Normal (170-185),Yes,7700000.0,,"Injury Free, Technical Dribbler (AI)",68.0,68.0,72.0,73.0,63.0,67.0,74,69,63,73,58,74,70,65,68,72,70,66,73,67,78,69,72,82,69,66,42,65,69,71,62,70,62,64,60,13,13,9,13,16,,69+1,69+1,69+1,71,70,70,70,71,71+1,71+1,71+1,72+1,71+1,71+1,71+1,72+1,69+1,67+1,67+1,67+1,69+1,68+1,64+1,64+1,64+1,68+1,19+1,https://cdn.sofifa.net/players/178/287/18_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/111455/60.png,https://cdn.sofifa.net/flags/ca.png
1994,225719,https://sofifa.com/player/225719/kelechi-iheanacho/180002,K. Iheanacho,Kelechi Promise Iheanacho,ST,75,86,11500000.0,50000.0,20,1996-10-03,185,82,95.0,Leicester City,English Premier League,1.0,SUB,8.0,,2017-08-03,2022.0,133,Nigeria,,,,Left,3,3,1,High/Medium,Normal (185+),Yes,24200000.0,,"Avoids Using Weaker Foot, Beat Offside Trap, Finesse Shot",84.0,75.0,60.0,74.0,22.0,68.0,48,79,60,66,69,73,67,53,58,75,84,84,78,70,68,76,58,68,74,66,56,17,79,65,74,72,15,22,12,8,7,7,11,15,,74+1,74+1,74+1,72,74,74,74,72,72+1,72+1,72+1,70+1,63+1,63+1,63+1,70+1,48+1,47+1,47+1,47+1,48+1,45+1,40+1,40+1,40+1,45+1,17+1,https://cdn.sofifa.net/players/225/719/18_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
1284,169792,https://sofifa.com/player/169792/jay-rodriguez/180002,J. Rodriguez,Jay Rodriguez,"LM, ST",76,76,8000000.0,70000.0,27,1989-07-29,185,80,109.0,West Bromwich Albion,English Premier League,1.0,LM,19.0,,2017-07-02,2021.0,14,England,,,,Right,4,3,2,High/Medium,Lean (185+),Yes,15200000.0,,"Diver, Injury Prone, Beat Offside Trap, Long Shot Taker (AI), Speed Dribbler (AI)",77.0,75.0,68.0,76.0,32.0,67.0,68,77,76,75,74,77,69,29,66,75,76,78,75,77,64,74,81,76,71,72,41,44,80,69,71,75,16,28,21,12,12,16,14,9,,76,76,76,75,76,76,76,75,75+1,75+1,75+1,75+1,70+1,70+1,70+1,75+1,57+1,54+1,54+1,54+1,57+1,54+1,47+1,47+1,47+1,54+1,19+1,https://cdn.sofifa.net/players/169/792/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1025,185422,https://sofifa.com/player/185422/joshua-king/180002,J. King,Joshua Christian Kojo King,"ST, CF, CAM",77,81,11500000.0,70000.0,25,1992-01-15,180,74,1943.0,AFC Bournemouth,English Premier League,1.0,CF,17.0,,2015-07-01,2021.0,36,Norway,1352.0,SUB,18.0,Right,2,3,1,Medium/Medium,Normal (170-185),Yes,22700000.0,,"Beat Offside Trap, Flair, Speed Dribbler (AI)",90.0,77.0,60.0,76.0,29.0,70.0,63,82,63,68,67,77,69,42,48,74,87,92,78,72,71,78,72,73,77,69,50,33,77,56,72,72,22,26,19,12,9,11,12,7,,76+1,76+1,76+1,75,75,75,75,75,71+1,71+1,71+1,73+1,63+1,63+1,63+1,73+1,55+1,50+1,50+1,50+1,55+1,52+1,45+1,45+1,45+1,52+1,17+1,https://cdn.sofifa.net/players/185/422/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1352/60.png,https://cdn.sofifa.net/flags/no.png
2358,200521,https://sofifa.com/player/200521/tom-ince/180002,T. Ince,Thomas Ince,"RW, LW, CAM",74,77,7000000.0,50000.0,25,1992-01-30,178,66,1939.0,Huddersfield Town,English Premier League,1.0,LM,22.0,,2017-07-04,2020.0,14,England,,,,Left,3,4,1,Medium/Medium,Lean (170-185),Yes,14500000.0,,"Flair, Technical Dribbler (AI), Set Play Specialist, Takes Finesse Free Kicks",79.0,69.0,68.0,77.0,26.0,53.0,71,71,40,67,44,77,75,73,59,76,81,77,87,68,81,70,55,68,52,71,38,30,73,70,68,67,22,24,21,9,12,15,8,8,,68+1,68+1,68+1,74,72,72,72,74,72+1,72+1,72+1,72+1,65+1,65+1,65+1,72+1,54+1,49+1,49+1,49+1,54+1,49+1,38+1,38+1,38+1,49+1,16+1,https://cdn.sofifa.net/players/200/521/18_120.png,https://cdn.sofifa.net/teams/1939/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
2811,184749,https://sofifa.com/player/184749/dan-gosling/180002,D. Gosling,Dan Gosling,CM,73,73,4100000.0,60000.0,27,1990-02-01,183,79,1943.0,AFC Bournemouth,English Premier League,1.0,SUB,4.0,,2014-07-01,2021.0,14,England,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,7800000.0,,,62.0,68.0,70.0,68.0,67.0,71.0,68,65,61,73,64,66,57,57,71,71,64,60,65,69,71,71,67,76,66,73,76,71,77,73,61,77,66,68,68,6,15,14,15,6,,68+1,68+1,68+1,69,70,70,70,69,70+1,70+1,70+1,69+1,72+1,72+1,72+1,69+1,69+1,71+1,71+1,71+1,69+1,68+1,68+1,68+1,68+1,68+1,17+1,https://cdn.sofifa.net/players/184/749/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
261,200104,https://sofifa.com/player/200104/heung-min-son/180002,H. Son,손흥민 孙兴慜,"LM, RM, ST",82,85,28000000.0,90000.0,24,1992-07-08,183,77,18.0,Tottenham Hotspur,English Premier League,1.0,LM,7.0,,2015-08-28,2020.0,167,Korea Republic,,,,Right,5,4,3,High/High,Lean (170-185),Yes,55300000.0,,"Diver, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI)",86.0,83.0,75.0,83.0,25.0,66.0,75,83,65,78,73,85,81,70,64,82,87,86,79,81,77,83,65,80,62,86,60,29,83,78,71,78,17,19,23,11,13,13,6,10,,80+1,80+1,80+1,82,82,82,82,82,81+1,81+1,81+1,81+1,73+1,73+1,73+1,81+1,59+1,54+1,54+1,54+1,59+1,54+1,43+1,43+1,43+1,54+1,18+1,https://cdn.sofifa.net/players/200/104/18_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/kr.png
6311,213666,https://sofifa.com/player/213666/ruben-loftus-cheek/180002,R. Loftus-Cheek,Ruben Loftus-Cheek,"CAM, CM",69,83,2300000.0,20000.0,21,1996-01-23,191,83,1799.0,Crystal Palace,English Premier League,1.0,RM,8.0,,2013-06-03,2021.0,14,England,,,,Right,4,2,1,Medium/Medium,Normal (185+),Yes,5800000.0,,,67.0,55.0,61.0,69.0,64.0,74.0,36,61,57,76,31,69,31,31,70,74,65,69,62,60,68,51,59,76,78,49,63,62,68,70,45,71,64,67,61,11,7,12,15,13,,63+1,63+1,63+1,65,67,67,67,65,68+1,68+1,68+1,66+1,69+1,69+1,69+1,66+1,64+1,68+1,68+1,68+1,64+1,63+1,65+1,65+1,65+1,63+1,17+1,https://cdn.sofifa.net/players/213/666/18_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
252,193348,https://sofifa.com/player/193348/xherdan-shaqiri/180002,X. Shaqiri,Xherdan Shaqiri,"RM, RW",82,85,28000000.0,80000.0,25,1991-10-10,169,72,1806.0,Stoke City,English Premier League,1.0,RW,22.0,,2015-08-11,2020.0,47,Switzerland,1364.0,RAM,23.0,Left,4,4,3,High/Medium,Unique,Yes,55300000.0,#Acrobat,"Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Takes Finesse Free Kicks",83.0,77.0,78.0,85.0,46.0,65.0,74,72,37,80,76,85,82,78,76,83,87,79,88,80,92,85,63,74,62,81,64,65,78,79,65,79,40,41,48,13,12,12,11,11,,74+2,74+2,74+2,80+1,80+1,80+1,80+1,80+1,81+2,81+2,81+2,80+2,77+2,77+2,77+2,80+2,68+2,66+2,66+2,66+2,68+2,64+2,55+2,55+2,55+2,64+2,19+2,https://cdn.sofifa.net/players/193/348/18_120.png,https://cdn.sofifa.net/teams/1806/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1364/60.png,https://cdn.sofifa.net/flags/ch.png
336,188988,https://sofifa.com/player/188988/manuel-lanzini/180002,M. Lanzini,Manuel Lanzini,"CAM, LM",81,87,24500000.0,90000.0,24,1993-02-15,167,59,19.0,West Ham United,English Premier League,1.0,CAM,10.0,,2016-07-01,2020.0,52,Argentina,1369.0,SUB,20.0,Right,4,4,2,Medium/Medium,Normal (170-),Yes,51500000.0,#Dribbler,"Flair, Long Shot Taker (AI), Playmaker (AI)",82.0,71.0,78.0,86.0,28.0,55.0,74,70,56,80,61,87,75,76,78,86,85,80,88,73,88,75,76,78,45,73,47,23,72,79,73,75,20,32,25,14,9,6,7,15,,73+1,73+1,73+1,79,78,78,78,79,80+1,80+1,80+1,80+1,74+1,74+1,74+1,80+1,59+1,55+1,55+1,55+1,59+1,54+1,42+1,42+1,42+1,54+1,18+1,https://cdn.sofifa.net/players/188/988/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
