,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
2467,213655,https://sofifa.com/player/213655/alex-iwobi/180002,A. Iwobi,Alex Iwobi,LM,74,85,9500000.0,60000.0,21,1996-05-03,180,75,1.0,Arsenal,English Premier League,1.0,SUB,17.0,,2013-07-01,2020.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,19500000.0,,"Flair, Technical Dribbler (AI)",78.0,61.0,66.0,82.0,28.0,65.0,52,63,42,80,48,83,50,40,57,83,79,78,77,72,76,67,50,70,72,54,46,24,68,75,56,70,29,26,23,14,7,12,14,11,,68+1,68+1,68+1,73,74,74,74,73,75+1,75+1,75+1,73+1,68+1,68+1,68+1,73+1,54+1,53+1,53+1,53+1,54+1,50+1,43+1,43+1,43+1,50+1,18+1,https://cdn.sofifa.net/players/213/655/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
271,204277,https://sofifa.com/player/204277/roque-mesa-quevedo/180002,Roque Mesa,Roque Mesa Quevedo,"CDM, CM",82,82,18000000.0,80000.0,28,1989-06-07,171,74,1960.0,Swansea City,English Premier League,1.0,CDM,51.0,,2017-07-06,2021.0,45,Spain,,,,Right,3,2,2,High/High,Stocky (170-185),No,34200000.0,#Engine,Playmaker (AI),77.0,61.0,76.0,77.0,73.0,80.0,67,67,32,89,34,72,46,48,80,82,76,78,77,79,89,63,77,92,69,54,92,81,67,75,42,79,72,79,80,15,8,7,11,9,,67+1,67+1,67+1,74,73,73,73,74,76+1,76+1,76+1,77+1,79+1,79+1,79+1,77+1,80+1,81+1,81+1,81+1,80+1,78+1,74+1,74+1,74+1,78+1,18+1,https://cdn.sofifa.net/players/204/277/18_120.png,https://cdn.sofifa.net/teams/1960/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/es.png
481,198784,https://sofifa.com/player/198784/alex-oxlade-chamberlain/180002,A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,"RM, LM, RWB",80,85,20000000.0,100000.0,23,1993-08-15,175,70,9.0,Liverpool,English Premier League,1.0,SUB,21.0,,2017-08-31,2022.0,14,England,1318.0,RM,11.0,Right,4,4,2,High/Medium,Stocky (170-185),Yes,39500000.0,,"Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI)",88.0,70.0,74.0,84.0,52.0,71.0,75,68,39,78,58,85,67,53,73,82,87,88,84,74,88,75,66,76,70,74,66,51,74,72,69,73,52,57,54,16,9,6,9,9,,72+1,72+1,72+1,79,77,77,77,79,78+1,78+1,78+1,79+1,74+1,74+1,74+1,79+1,69+1,67+1,67+1,67+1,69+1,66+1,59+1,59+1,59+1,66+1,17+1,https://cdn.sofifa.net/players/198/784/18_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
1041,189165,https://sofifa.com/player/189165/jonjo-shelvey/180002,J. Shelvey,Jonjo Shelvey,"CM, CDM",77,82,11500000.0,70000.0,25,1992-02-27,185,80,13.0,Newcastle United,English Premier League,1.0,RCM,8.0,,2016-01-12,2021.0,14,England,,,,Right,3,2,2,Low/Medium,Normal (185+),Yes,22700000.0,,"Dives Into Tackles (AI), Long Passer (AI), Long Shot Taker (AI)",62.0,73.0,79.0,73.0,60.0,77.0,73,67,69,82,56,74,66,73,84,75,61,62,62,72,65,85,65,77,76,81,83,58,70,80,71,75,55,64,59,14,11,15,8,16,,72+1,72+1,72+1,72,73,73,73,72,75+1,75+1,75+1,73+1,76+1,76+1,76+1,73+1,68+1,71+1,71+1,71+1,68+1,66+1,66+1,66+1,66+1,66+1,19+1,https://cdn.sofifa.net/players/189/165/18_120.png,https://cdn.sofifa.net/teams/13/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
2811,184749,https://sofifa.com/player/184749/dan-gosling/180002,D. Gosling,Dan Gosling,CM,73,73,4100000.0,60000.0,27,1990-02-01,183,79,1943.0,AFC Bournemouth,English Premier League,1.0,SUB,4.0,,2014-07-01,2021.0,14,England,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,7800000.0,,,62.0,68.0,70.0,68.0,67.0,71.0,68,65,61,73,64,66,57,57,71,71,64,60,65,69,71,71,67,76,66,73,76,71,77,73,61,77,66,68,68,6,15,14,15,6,,68+1,68+1,68+1,69,70,70,70,69,70+1,70+1,70+1,69+1,72+1,72+1,72+1,69+1,69+1,71+1,71+1,71+1,69+1,68+1,68+1,68+1,68+1,68+1,17+1,https://cdn.sofifa.net/players/184/749/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1869,205897,https://sofifa.com/player/205897/nathaniel-chalobah/180002,N. Chalobah,Nathaniel Chalobah,"CDM, CM",75,84,9000000.0,40000.0,22,1994-12-12,185,76,1795.0,Watford,English Premier League,1.0,LDM,14.0,,2017-07-13,2022.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),Yes,18900000.0,,,67.0,61.0,70.0,72.0,72.0,73.0,58,55,71,77,53,70,51,38,79,76,69,65,74,69,58,71,71,72,75,67,72,70,62,76,49,71,72,74,71,12,9,15,8,8,,67+1,67+1,67+1,68,69,69,69,68,71+1,71+1,71+1,69+1,73+1,73+1,73+1,69+1,70+1,74+1,74+1,74+1,70+1,70+1,72+1,72+1,72+1,70+1,16+1,https://cdn.sofifa.net/players/205/897/18_120.png,https://cdn.sofifa.net/teams/1795/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
465,190815,https://sofifa.com/player/190815/daley-blind/180002,D. Blind,Daley Blind,"LB, CB",80,81,13500000.0,120000.0,27,1990-03-09,180,72,11.0,Manchester United,English Premier League,1.0,LB,17.0,,2014-09-01,2018.0,34,Netherlands,105035.0,LB,5.0,Left,4,2,3,High/Medium,Normal (170-185),Yes,26000000.0,,"Injury Free, Early Crosser, Long Passer (AI), Set Play Specialist",60.0,56.0,79.0,76.0,80.0,76.0,80,46,71,81,62,73,84,62,80,80,63,58,72,84,75,68,71,86,74,62,70,82,68,76,56,83,80,83,76,12,9,10,14,10,,67+2,67+2,67+2,71+1,70+1,70+1,70+1,71+1,73+2,73+2,73+2,74+2,78+2,78+2,78+2,74+2,79+2,80+1,80+1,80+1,79+2,78+2,78+2,78+2,78+2,78+2,19+2,https://cdn.sofifa.net/players/190/815/18_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
1092,200054,https://sofifa.com/player/200054/pedro-mba-obiang-avomo/180002,Pedro Obiang,Pedro Mba Obiang Avomo,"CDM, CM",77,82,10000000.0,80000.0,25,1992-03-27,185,75,19.0,West Ham United,English Premier League,1.0,LDM,14.0,,2015-07-01,2022.0,45,Spain,,,,Right,3,2,2,Medium/High,Lean (185+),Yes,19800000.0,,Playmaker (AI),68.0,59.0,75.0,74.0,75.0,77.0,68,50,70,80,60,74,56,62,79,78,67,69,71,69,63,74,74,77,79,63,71,76,62,78,58,79,70,79,77,9,7,7,6,7,,67+1,67+1,67+1,70,70,70,70,70,72+1,72+1,72+1,72+1,75+1,75+1,75+1,72+1,74+1,76+1,76+1,76+1,74+1,74+1,75+1,75+1,75+1,74+1,14+1,https://cdn.sofifa.net/players/200/054/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/es.png
978,172143,https://sofifa.com/player/172143/lasse-schone/180002,L. Schøne,Lasse Schøne,"CM, CDM",77,77,7500000.0,15000.0,31,1986-05-27,176,75,245.0,Ajax,Holland Eredivisie,1.0,SUB,20.0,,2012-07-01,2019.0,13,Denmark,1331.0,RM,14.0,Right,3,3,2,Medium/High,Normal (170-185),No,10500000.0,#FK Specialist,"Finesse Shot, Flair, Team Player, Set Play Specialist, Takes Finesse Free Kicks",51.0,76.0,82.0,76.0,59.0,61.0,81,70,60,82,84,74,85,86,77,82,45,55,72,70,79,83,70,66,55,82,65,81,67,83,77,68,50,55,51,16,16,9,12,11,,70+1,70+1,70+1,73,73,73,73,73,75+1,75+1,75+1,73+1,76+1,76+1,76+1,73+1,68+1,70+1,70+1,70+1,68+1,65+1,62+1,62+1,62+1,65+1,20+1,https://cdn.sofifa.net/players/172/143/18_120.png,https://cdn.sofifa.net/teams/245/60.png,https://cdn.sofifa.net/flags/nl.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
1680,172768,https://sofifa.com/player/172768/andrew-surman/180002,A. Surman,Andrew Surman,"CM, CDM",75,75,6000000.0,60000.0,30,1986-08-20,178,73,1943.0,AFC Bournemouth,English Premier League,1.0,RCM,6.0,,2014-09-01,2019.0,14,England,,,,Left,4,3,1,Medium/Medium,Normal (170-185),Yes,11400000.0,,,61.0,64.0,75.0,72.0,64.0,71.0,68,63,59,82,55,72,61,68,76,74,62,60,63,69,72,67,71,77,69,65,68,65,65,76,67,73,62,68,62,16,14,7,16,8,,66+1,66+1,66+1,69,69,69,69,69,72+1,72+1,72+1,71+1,74+1,74+1,74+1,71+1,69+1,71+1,71+1,71+1,69+1,67+1,66+1,66+1,66+1,67+1,19+1,https://cdn.sofifa.net/players/172/768/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
