,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
142,163587,https://sofifa.com/player/163587/kasper-schmeichel/180002,K. Schmeichel,Kasper Peter Schmeichel,GK,83,84,19000000.0,70000.0,30,1986-11-05,189,89,95.0,Leicester City,English Premier League,1.0,GK,1.0,,2011-06-01,2021.0,13,Denmark,1331.0,GK,1.0,Right,3,1,2,Medium/Medium,Normal (185+),Yes,37500000.0,,GK Up for Corners,,,,,,,18,12,16,44,15,12,13,15,46,40,62,60,62,80,47,36,60,35,62,14,33,20,14,59,26,52,14,14,13,83,82,82,80,86,61.0,32+1,32+1,32+1,35,35,35,35,35,39+1,39+1,39+1,37+1,39+1,39+1,39+1,37+1,32+1,35+1,35+1,35+1,32+1,32+1,29+1,29+1,29+1,32+1,82+1,https://cdn.sofifa.net/players/163/587/18_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
528,137677,https://sofifa.com/player/137677/michel-vorm/180002,M. Vorm,Michel Vorm,GK,79,79,6500000.0,70000.0,33,1983-10-20,184,84,18.0,Tottenham Hotspur,English Premier League,1.0,SUB,13.0,,2014-07-23,2018.0,34,Netherlands,,,,Right,3,1,2,Medium/Medium,Normal (170-185),Yes,12400000.0,,Saves with Feet,,,,,,,13,14,17,39,12,18,12,14,35,35,57,58,67,82,53,23,73,38,65,19,23,28,10,32,41,65,15,11,14,78,76,72,75,83,58.0,30+1,30+1,30+1,33,32,32,32,33,34+1,34+1,34+1,34+1,34+1,34+1,34+1,34+1,32+1,33+1,33+1,33+1,32+1,31+1,30+1,30+1,30+1,31+1,78+1,https://cdn.sofifa.net/players/137/677/18_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/nl.png
1679,172553,https://sofifa.com/player/172553/jonas-lossl/180002,J. Lössl,Jonas Bybjerg Lössl,GK,75,76,5500000.0,30000.0,28,1989-02-01,195,88,1939.0,Huddersfield Town,English Premier League,1.0,GK,1.0,1. FSV Mainz 05,,2018.0,13,Denmark,1331.0,SUB,16.0,Right,2,1,1,Medium/Medium,Normal (185+),No,,,Comes For Crosses,,,,,,,14,12,17,30,11,15,14,13,34,19,29,34,32,72,30,22,51,25,67,15,17,20,10,49,12,30,12,13,15,74,77,67,71,77,32.0,24+1,24+1,24+1,25,26,26,26,25,28+1,28+1,28+1,26+1,30+1,30+1,30+1,26+1,24+1,28+1,28+1,28+1,24+1,24+1,26+1,26+1,26+1,24+1,74+1,https://cdn.sofifa.net/players/172/553/18_120.png,https://cdn.sofifa.net/teams/1939/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
5307,205186,https://sofifa.com/player/205186/paulo-gazzaniga/180002,P. Gazzaniga,Paulo Dino Gazzaniga,GK,70,75,1700000.0,30000.0,25,1992-01-02,196,90,18.0,Tottenham Hotspur,English Premier League,1.0,SUB,22.0,,2017-08-23,2022.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Normal (185+),Yes,3300000.0,,,,,,,,,21,12,14,32,8,20,33,21,49,20,63,65,64,59,49,49,66,45,67,19,32,16,13,52,41,49,18,20,11,67,73,84,68,70,64.0,30+1,30+1,30+1,31,31,31,31,31,33+1,33+1,33+1,34+1,34+1,34+1,34+1,34+1,30+1,31+1,31+1,31+1,30+1,29+1,28+1,28+1,28+1,29+1,69+1,https://cdn.sofifa.net/players/205/186/18_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ar.png
1120,204935,https://sofifa.com/player/204935/jordan-pickford/180002,J. Pickford,Jordan Pickford,GK,77,85,10000000.0,60000.0,23,1994-03-07,185,77,7.0,Everton,English Premier League,1.0,GK,1.0,,2017-06-15,2022.0,14,England,,,,Left,3,1,1,Medium/Medium,Normal (185+),Yes,21000000.0,,"Long Passer (AI), Puncher",,,,,,,17,19,15,50,20,14,18,16,53,38,48,41,33,68,46,31,59,44,50,13,23,24,18,66,41,51,14,20,12,77,76,85,73,82,44.0,30+1,30+1,30+1,33,35,35,35,33,39+1,39+1,39+1,37+1,43+1,43+1,43+1,37+1,32+1,37+1,37+1,37+1,32+1,30+1,28+1,28+1,28+1,30+1,76+1,https://cdn.sofifa.net/players/204/935/18_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
7095,203841,https://sofifa.com/player/203841/nick-pope/180002,N. Pope,Nick Pope,GK,68,74,875000.0,20000.0,25,1992-04-19,192,76,1796.0,Burnley,English Premier League,1.0,SUB,29.0,,2016-07-20,2018.0,14,England,,,,Right,3,1,1,Medium/Medium,Lean (185+),Yes,1800000.0,,"Puncher, Comes For Crosses",,,,,,,11,14,11,32,14,13,11,12,35,24,50,45,29,53,45,17,59,32,52,15,36,17,13,39,22,37,15,15,14,72,67,66,67,69,47.0,24+1,24+1,24+1,26,26,26,26,26,28+1,28+1,28+1,28+1,29+1,29+1,29+1,28+1,25+1,28+1,28+1,28+1,25+1,25+1,25+1,25+1,25+1,25+1,67+1,https://cdn.sofifa.net/players/203/841/18_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
492,203775,https://sofifa.com/player/203775/loris-karius/180002,L. Karius,Loris Karius,GK,80,84,14000000.0,70000.0,24,1993-06-22,189,75,9.0,Liverpool,English Premier League,1.0,SUB,1.0,,2016-07-01,2021.0,21,Germany,,,,Right,3,1,2,Medium/Medium,Normal (185+),Yes,27700000.0,,"Puncher, GK Long Throw, Rushes Out Of Goal",,,,,,,14,18,14,35,14,16,12,14,36,23,51,50,51,78,43,20,74,36,55,16,18,13,8,45,19,34,13,11,13,84,74,74,76,85,50.0,27+1,27+1,27+1,30,29,29,29,30,32+1,32+1,32+1,31+1,32+1,32+1,32+1,31+1,27+1,28+1,28+1,28+1,27+1,27+1,25+1,25+1,25+1,27+1,79+1,https://cdn.sofifa.net/players/203/775/18_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/de.png
188,210257,https://sofifa.com/player/210257/ederson-santana-de-moraes/180002,Ederson,Ederson Santana de Moraes,GK,83,89,26000000.0,90000.0,23,1993-08-17,188,86,10.0,Manchester City,English Premier League,1.0,GK,31.0,,2017-07-01,2022.0,54,Brazil,1370.0,SUB,23.0,Left,2,1,2,Medium/Medium,Normal (185+),No,53300000.0,,"Long Passer (AI), Rushes Out Of Goal, Comes For Crosses",,,,,,,20,14,14,15,18,21,12,20,30,30,64,63,60,86,40,42,58,38,68,18,35,25,16,60,17,58,9,15,8,81,76,82,78,87,63.0,32+2,32+2,32+2,34+1,34+1,34+1,34+1,34+1,35+2,35+2,35+2,35+2,33+2,33+2,33+2,35+2,30+2,30+2,30+2,30+2,30+2,30+2,28+2,28+2,28+2,30+2,81+2,https://cdn.sofifa.net/players/210/257/18_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1370/60.png,https://cdn.sofifa.net/flags/br.png
46,48940,https://sofifa.com/player/48940/petr-cech/180002,P. Čech,Petr Čech,GK,86,86,10500000.0,90000.0,35,1982-05-20,196,90,1.0,Arsenal,English Premier League,1.0,GK,33.0,,2015-06-29,2019.0,12,Czech Republic,,,,Left,3,1,4,Medium/Medium,Normal (185+),Yes,19400000.0,,"Puncher, GK Long Throw, Team Player, Cautious With Crosses",,,,,,,19,12,19,35,17,12,13,19,33,22,40,44,49,84,34,21,51,32,65,11,17,23,13,53,23,70,11,13,12,82,87,76,83,81,42.0,27+3,27+3,27+3,29+2,29+2,29+2,29+2,29+2,32+3,32+3,32+3,30+3,33+3,33+3,33+3,30+3,28+3,30+3,30+3,30+3,28+3,28+3,27+3,27+3,27+3,28+3,83+3,https://cdn.sofifa.net/players/048/940/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/cz.png
370,203042,https://sofifa.com/player/203042/jack-butland/180002,J. Butland,Jack Butland,GK,81,87,18000000.0,50000.0,24,1993-03-10,196,95,1806.0,Stoke City,English Premier League,1.0,GK,1.0,,2013-01-31,2021.0,14,England,1318.0,SUB,13.0,Right,3,1,2,Medium/Medium,Normal (185+),Yes,37800000.0,,Comes For Crosses,,,,,,,11,16,12,36,12,21,12,14,40,26,38,43,48,73,35,29,61,35,63,13,32,27,16,31,42,59,16,13,11,81,83,72,78,85,41.0,28+1,28+1,28+1,28,29,29,29,28,31+1,31+1,31+1,30+1,32+1,32+1,32+1,30+1,28+1,32+1,32+1,32+1,28+1,27+1,28+1,28+1,28+1,27+1,80+1,https://cdn.sofifa.net/players/203/042/18_120.png,https://cdn.sofifa.net/teams/1806/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
