,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
216,169595,https://sofifa.com/player/169595/danny-rose/180002,D. Rose,Danny Rose,"LB, LWB",82,83,21000000.0,100000.0,26,1990-07-02,174,76,18.0,Tottenham Hotspur,English Premier League,1.0,SUB,3.0,,2007-07-01,2021.0,14,England,1318.0,LB,3.0,Left,3,3,3,Medium/High,Normal (170-185),Yes,41500000.0,,,81.0,63.0,73.0,78.0,81.0,78.0,81,57,62,76,64,79,64,57,66,76,80,81,73,82,76,72,75,81,74,69,87,81,68,73,57,73,82,84,85,10,11,8,13,13,,70+2,70+2,70+2,75+1,73+1,73+1,73+1,75+1,74+2,74+2,74+2,76+2,75+2,75+2,75+2,76+2,81+2,79+2,79+2,79+2,81+2,81+2,79+2,79+2,79+2,81+2,19+2,https://cdn.sofifa.net/players/169/595/18_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
1364,189615,https://sofifa.com/player/189615/aaron-cresswell/180002,A. Cresswell,Aaron Cresswell,"LB, LWB",76,77,7000000.0,80000.0,27,1989-12-15,170,66,19.0,West Ham United,English Premier League,1.0,LB,3.0,,2014-07-03,2021.0,14,England,,,,Left,3,2,2,High/Medium,Lean (170-),Yes,13800000.0,,,76.0,59.0,72.0,76.0,73.0,68.0,80,53,58,72,45,76,76,69,68,75,75,76,77,68,90,71,85,82,59,62,68,71,63,68,59,72,76,75,77,14,7,9,9,12,,65+1,65+1,65+1,71,69,69,69,71,70+1,70+1,70+1,72+1,71+1,71+1,71+1,72+1,75+1,72+1,72+1,72+1,75+1,75+1,71+1,71+1,71+1,75+1,17+1,https://cdn.sofifa.net/players/189/615/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
502,207993,https://sofifa.com/player/207993/sead-kolasinac/180002,S. Kolašinac,Sead Kolašinac,"LB, LM",80,83,15500000.0,90000.0,24,1993-06-20,183,85,1.0,Arsenal,English Premier League,1.0,LWB,31.0,,2017-07-01,2022.0,8,Bosnia and Herzegovina,,,,Left,2,2,2,Medium/High,Stocky (170-185),No,29800000.0,#Strength,Avoids Using Weaker Foot,78.0,53.0,61.0,64.0,78.0,89.0,74,42,73,68,31,63,43,25,49,69,73,82,52,78,55,82,76,85,91,52,91,71,62,56,44,70,78,83,84,15,9,16,7,9,,66+3,66+3,66+3,65+2,65+2,65+2,65+2,65+2,63+3,63+3,63+3,67+3,65+3,65+3,65+3,67+3,76+3,73+3,73+3,73+3,76+3,77+3,79+3,79+3,79+3,77+3,18+3,https://cdn.sofifa.net/players/207/993/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ba.png
1114,203485,https://sofifa.com/player/203485/terence-kongolo/180002,T. Kongolo,Terence Kongolo,"LB, CB",77,82,10000000.0,30000.0,23,1994-02-14,188,70,69.0,AS Monaco,French Ligue 1,1.0,SUB,4.0,,2017-07-03,2022.0,34,Netherlands,,,,Left,4,2,2,Medium/High,Lean (185+),No,19800000.0,,"Long Throw-in, Speed Dribbler (AI), Power Header",81.0,43.0,64.0,67.0,78.0,76.0,67,27,74,72,40,65,63,44,65,69,81,81,75,70,63,67,86,77,77,52,72,77,49,49,42,73,75,82,84,8,14,12,11,12,,59+1,59+1,59+1,62,61,61,61,62,62+1,62+1,62+1,65+1,65+1,65+1,65+1,65+1,75+1,73+1,73+1,73+1,75+1,76+1,77+1,77+1,77+1,76+1,18+1,https://cdn.sofifa.net/players/203/485/18_120.png,https://cdn.sofifa.net/teams/69/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/nl.png
179,203376,https://sofifa.com/player/203376/virgil-van-dijk/180002,V. van Dijk,Virgil van Dijk,CB,83,86,27500000.0,90000.0,25,1991-07-08,193,92,17.0,Southampton,English Premier League,1.0,RCB,17.0,,2015-09-01,2022.0,34,Netherlands,,,,Right,3,2,3,High/Medium,Normal (185+),Yes,54300000.0,#Strength,"Injury Free, Long Passer (AI)",73.0,60.0,67.0,69.0,83.0,85.0,53,52,80,76,45,70,60,70,76,73,69,76,57,79,51,81,79,76,92,64,78,83,41,59,62,82,83,85,83,13,10,13,11,11,,67+1,67+1,67+1,65,66,66,66,65,66+1,66+1,66+1,67+1,71+1,71+1,71+1,67+1,76+1,79+1,79+1,79+1,76+1,77+1,82+1,82+1,82+1,77+1,19+1,https://cdn.sofifa.net/players/203/376/18_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/nl.png
1236,139313,https://sofifa.com/player/139313/christian-fuchs/180002,C. Fuchs,Christian Fuchs,LB,76,76,5000000.0,60000.0,31,1986-04-07,187,89,95.0,Leicester City,English Premier League,1.0,LB,28.0,,2015-07-01,2019.0,4,Austria,,,,Left,2,3,2,Medium/Medium,Normal (185+),Yes,9500000.0,,"Avoids Using Weaker Foot, Long Passer (AI), Giant Throw-in, Set Play Specialist, Takes Finesse Free Kicks",62.0,69.0,77.0,71.0,76.0,77.0,83,57,76,76,70,70,86,78,75,75,63,62,66,75,60,83,76,79,75,79,78,76,72,73,68,70,74,77,77,14,12,15,16,13,,71+1,71+1,71+1,71,71,71,71,71,72+1,72+1,72+1,72+1,75+1,75+1,75+1,72+1,75+1,76,76,76,75+1,75+1,76,76,76,75+1,21+1,https://cdn.sofifa.net/players/139/313/18_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/at.png
1698,178567,https://sofifa.com/player/178567/erik-pieters/180002,E. Pieters,Erik Pieters,"LB, LWB",75,75,5500000.0,50000.0,28,1988-08-07,183,84,1806.0,Stoke City,English Premier League,1.0,LWB,3.0,,2013-07-01,2020.0,34,Netherlands,,,,Left,2,2,2,Medium/Medium,Normal (170-185),Yes,10500000.0,,Avoids Using Weaker Foot,66.0,40.0,65.0,67.0,78.0,78.0,58,32,73,75,34,64,67,56,60,73,63,69,65,71,57,51,68,75,77,36,85,77,61,61,65,67,77,80,81,16,15,8,12,10,,59+1,59+1,59+1,62,61,61,61,62,63+1,63+1,63+1,64+1,67+1,67+1,67+1,64+1,73+1,74+1,74+1,74+1,73+1,74+1,77-2,77-2,77-2,74+1,19+1,https://cdn.sofifa.net/players/178/567/18_120.png,https://cdn.sofifa.net/teams/1806/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/nl.png
1485,210897,https://sofifa.com/player/210897/chancel-mbemba/180002,C. Mbemba,Chancel Mbemba Mangulu,CB,76,82,9000000.0,50000.0,22,1994-08-08,182,82,13.0,Newcastle United,English Premier League,1.0,SUB,18.0,,2015-07-30,2020.0,110,Congo DR,,,,Right,3,2,1,High/Medium,Normal (170-185),Yes,18900000.0,,Dives Into Tackles (AI),74.0,54.0,53.0,66.0,75.0,80.0,47,52,74,64,37,64,29,28,65,69,72,76,68,69,63,79,88,74,84,42,74,72,52,43,31,68,74,79,77,9,14,16,7,7,,64+1,64+1,64+1,61,62,62,62,61,60+1,60+1,60+1,62+1,62+1,62+1,62+1,62+1,69+1,70+1,70+1,70+1,69+1,71+1,75+1,75+1,75+1,71+1,16+1,https://cdn.sofifa.net/players/210/897/18_120.png,https://cdn.sofifa.net/teams/13/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/cd.png
1922,212491,https://sofifa.com/player/212491/arthur-masuaku/180002,A. Masuaku,Arthur Masuaku,"LB, LWB",75,81,7500000.0,60000.0,23,1993-11-07,179,70,19.0,West Ham United,English Premier League,1.0,SUB,26.0,,2016-08-08,2020.0,110,Congo DR,,,,Left,2,3,1,High/Medium,Lean (170-185),Yes,15800000.0,,"Avoids Using Weaker Foot, Flair, Speed Dribbler (AI)",86.0,66.0,70.0,78.0,70.0,73.0,75,60,60,71,61,80,69,48,68,76,87,86,76,75,81,77,69,77,74,71,65,66,68,71,49,73,70,74,73,8,7,10,7,7,,71+1,71+1,71+1,75,73,73,73,75,73+1,73+1,73+1,75+1,72+1,72+1,72+1,75+1,74+1,71+1,71+1,71+1,74+1,74+1,70+1,70+1,70+1,74+1,15+1,https://cdn.sofifa.net/players/212/491/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/cd.png
829,199304,https://sofifa.com/player/199304/danilo-luiz-da-silva/180002,Danilo,Danilo Luiz da Silva,"RB, LB, CB",78,81,10500000.0,100000.0,25,1991-07-15,184,78,10.0,Manchester City,English Premier League,1.0,LWB,3.0,,2017-07-23,2022.0,54,Brazil,,,,Right,4,3,2,High/Medium,Lean (170-185),No,20200000.0,,"Long Shot Taker (AI), Speed Dribbler (AI)",78.0,70.0,71.0,74.0,76.0,79.0,71,61,68,76,72,73,74,76,69,77,75,80,73,79,65,85,75,83,79,72,74,81,75,63,67,69,72,77,78,14,5,15,14,5,,74+1,74+1,74+1,73,73,73,73,73,73+1,73+1,73+1,74+1,74+1,74+1,74+1,74+1,77+1,76+1,76+1,76+1,77+1,77+1,76+1,76+1,76+1,77+1,17+1,https://cdn.sofifa.net/players/199/304/18_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
