,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
2467,213655,https://sofifa.com/player/213655/alex-iwobi/180002,A. Iwobi,Alex Iwobi,LM,74,85,9500000.0,60000.0,21,1996-05-03,180,75,1.0,Arsenal,English Premier League,1.0,SUB,17.0,,2013-07-01,2020.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,19500000.0,,"Flair, Technical Dribbler (AI)",78.0,61.0,66.0,82.0,28.0,65.0,52,63,42,80,48,83,50,40,57,83,79,78,77,72,76,67,50,70,72,54,46,24,68,75,56,70,29,26,23,14,7,12,14,11,,68+1,68+1,68+1,73,74,74,74,73,75+1,75+1,75+1,73+1,68+1,68+1,68+1,73+1,54+1,53+1,53+1,53+1,54+1,50+1,43+1,43+1,43+1,50+1,18+1,https://cdn.sofifa.net/players/213/655/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
2773,178287,https://sofifa.com/player/178287/scott-arfield/180002,S. Arfield,Scott Harry Nathaniel Arfield,"LM, CM",73,73,4000000.0,50000.0,28,1988-11-01,178,70,1796.0,Burnley,English Premier League,1.0,SUB,37.0,,2013-07-19,2018.0,70,Canada,111455.0,LCM,8.0,Right,3,3,1,High/High,Normal (170-185),Yes,7700000.0,,"Injury Free, Technical Dribbler (AI)",68.0,68.0,72.0,73.0,63.0,67.0,74,69,63,73,58,74,70,65,68,72,70,66,73,67,78,69,72,82,69,66,42,65,69,71,62,70,62,64,60,13,13,9,13,16,,69+1,69+1,69+1,71,70,70,70,71,71+1,71+1,71+1,72+1,71+1,71+1,71+1,72+1,69+1,67+1,67+1,67+1,69+1,68+1,64+1,64+1,64+1,68+1,19+1,https://cdn.sofifa.net/players/178/287/18_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/111455/60.png,https://cdn.sofifa.net/flags/ca.png
49,162895,https://sofifa.com/player/162895/francesc-fabregas-i-soler/180002,Cesc Fàbregas,Francesc Fàbregas i Soler,"CM, CDM, CAM",86,86,41000000.0,200000.0,30,1987-05-04,180,77,5.0,Chelsea,English Premier League,1.0,SUB,4.0,,2014-07-01,2019.0,45,Spain,,,,Right,3,3,4,High/Medium,Normal (170-),Yes,75900000.0,#Playmaker ,"Long Passer (AI), Playmaker (AI), Set Play Specialist",63.0,77.0,88.0,80.0,61.0,64.0,85,76,74,91,81,80,77,81,90,86,65,62,65,81,77,77,68,80,64,75,45,50,78,91,80,92,60,63,62,6,10,8,15,15,,77+3,77+3,77+3,80+2,80+2,80+2,80+2,80+2,82+3,82+3,82+3,81+3,83+3,83+3,83+3,81+3,72+3,72+3,72+3,72+3,72+3,70+3,64+3,64+3,64+3,70+3,19+3,https://cdn.sofifa.net/players/162/895/18_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/es.png
5999,188540,https://sofifa.com/player/188540/rajiv-van-la-parra/180002,R. van La Parra,Rajiv van La Parra,"LM, RM",69,70,1200000.0,30000.0,26,1991-06-04,181,72,1939.0,Huddersfield Town,English Premier League,1.0,SUB,17.0,,2016-06-01,2020.0,34,Netherlands,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,2600000.0,,"Avoids Using Weaker Foot, Selfish, Flair, Technical Dribbler (AI)",84.0,56.0,59.0,77.0,37.0,63.0,58,51,38,64,51,79,67,57,52,76,83,85,78,58,74,67,56,67,65,54,54,34,62,57,63,66,27,48,36,16,14,11,16,12,,62+1,62+1,62+1,68,66,66,66,68,66+1,66+1,66+1,68+1,61+1,61+1,61+1,68+1,56+1,52+1,52+1,52+1,56+1,53+1,47+1,47+1,47+1,53+1,19+1,https://cdn.sofifa.net/players/188/540/18_120.png,https://cdn.sofifa.net/teams/1939/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/nl.png
1083,198719,https://sofifa.com/player/198719/nathan-redmond/180002,N. Redmond,Nathan Redmond,"LM, RM, ST",77,85,13000000.0,70000.0,23,1994-03-06,173,69,17.0,Southampton,English Premier League,1.0,LM,22.0,,2016-07-01,2021.0,14,England,,,,Right,3,4,2,High/Medium,Lean (170-185),Yes,27300000.0,#Acrobat,"Flair, Long Shot Taker (AI), Speed Dribbler (AI), Backs Into Player",87.0,69.0,70.0,82.0,24.0,52.0,72,69,33,72,55,83,69,65,63,79,89,86,91,65,86,71,50,72,47,71,38,22,74,72,57,70,18,26,30,12,14,16,6,10,,68+1,68+1,68+1,77,75,75,75,77,75+1,75+1,75+1,76+1,67+1,67+1,67+1,76+1,56+1,49+1,49+1,49+1,56+1,51+1,37+1,37+1,37+1,51+1,17+1,https://cdn.sofifa.net/players/198/719/18_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
3033,207807,https://sofifa.com/player/207807/ryan-fraser/180002,R. Fraser,Ryan Fraser,"RM, LM",73,80,5500000.0,50000.0,23,1994-02-24,163,60,1943.0,AFC Bournemouth,English Premier League,1.0,RM,24.0,,2013-01-01,2020.0,42,Scotland,,,,Right,4,3,1,High/Medium,Normal (170-),Yes,11600000.0,#Acrobat,"Diver, Flair, Speed Dribbler (AI)",88.0,64.0,68.0,76.0,42.0,55.0,72,67,25,69,43,76,70,67,54,71,89,88,92,64,93,60,61,72,41,69,65,35,69,70,56,68,53,43,37,15,14,15,7,10,,63+1,63+1,63+1,73,70,70,70,73,71+1,71+1,71+1,72+1,65+1,65+1,65+1,72+1,61+1,55+1,55+1,55+1,61+1,57+1,47+1,47+1,47+1,57+1,17+1,https://cdn.sofifa.net/players/207/807/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-sct.png
235,184200,https://sofifa.com/player/184200/marko-arnautovic/180002,M. Arnautović,Marko Arnautović,"LM, RM, LW",82,82,22500000.0,120000.0,28,1989-04-19,192,83,19.0,West Ham United,English Premier League,1.0,LM,27.0,,2017-07-23,2022.0,4,Austria,1322.0,LW,7.0,Right,4,4,3,Medium/Medium,Normal (185+),Yes,42800000.0,,"Diver, Selfish, Flair, Technical Dribbler (AI)",77.0,74.0,79.0,81.0,53.0,81.0,83,73,71,79,79,84,79,74,74,85,76,78,72,75,57,78,68,79,84,71,81,53,80,81,77,77,49,60,30,14,15,10,10,15,,78+2,78+2,78+2,80+1,79+1,79+1,79+1,80+1,79+2,79+2,79+2,80+2,77+2,77+2,77+2,80+2,68+2,68+2,68+2,68+2,68+2,64+2,63+2,63+2,63+2,64+2,20+2,https://cdn.sofifa.net/players/184/200/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1322/60.png,https://cdn.sofifa.net/flags/at.png
358,198717,https://sofifa.com/player/198717/wilfried-zaha/180002,W. Zaha,Wilfried Zaha,"RM, LM",81,84,22500000.0,60000.0,24,1992-11-10,180,66,1799.0,Crystal Palace,English Premier League,1.0,LM,11.0,,2015-02-02,2022.0,108,Côte d'Ivoire,111112.0,SUB,9.0,Right,3,4,2,High/Medium,Lean (170-185),Yes,44400000.0,#Dribbler,"Selfish, Flair, Technical Dribbler (AI)",90.0,71.0,71.0,86.0,33.0,72.0,79,74,43,72,59,88,54,51,65,86,89,90,89,73,79,75,50,78,73,62,68,23,74,74,66,76,36,32,34,15,10,15,11,10,,74+1,74+1,74+1,80,78,78,78,80,78+1,78+1,78+1,80+1,70+1,70+1,70+1,80+1,61+1,56+1,56+1,56+1,61+1,57+1,47+1,47+1,47+1,57+1,18+1,https://cdn.sofifa.net/players/198/717/18_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/111112/60.png,https://cdn.sofifa.net/flags/ci.png
2358,200521,https://sofifa.com/player/200521/tom-ince/180002,T. Ince,Thomas Ince,"RW, LW, CAM",74,77,7000000.0,50000.0,25,1992-01-30,178,66,1939.0,Huddersfield Town,English Premier League,1.0,LM,22.0,,2017-07-04,2020.0,14,England,,,,Left,3,4,1,Medium/Medium,Lean (170-185),Yes,14500000.0,,"Flair, Technical Dribbler (AI), Set Play Specialist, Takes Finesse Free Kicks",79.0,69.0,68.0,77.0,26.0,53.0,71,71,40,67,44,77,75,73,59,76,81,77,87,68,81,70,55,68,52,71,38,30,73,70,68,67,22,24,21,9,12,15,8,8,,68+1,68+1,68+1,74,72,72,72,74,72+1,72+1,72+1,72+1,65+1,65+1,65+1,72+1,54+1,49+1,49+1,49+1,54+1,49+1,38+1,38+1,38+1,49+1,16+1,https://cdn.sofifa.net/players/200/521/18_120.png,https://cdn.sofifa.net/teams/1939/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
2334,198489,https://sofifa.com/player/198489/james-mcclean/180002,J. McClean,James Joseph McClean,LM,74,74,5500000.0,60000.0,28,1989-04-22,180,70,109.0,West Bromwich Albion,English Premier League,1.0,SUB,14.0,,2015-06-22,2019.0,25,Republic of Ireland,1355.0,SUB,11.0,Left,2,4,2,High/High,Lean (170-185),Yes,10500000.0,,Avoids Using Weaker Foot,77.0,67.0,69.0,76.0,58.0,75.0,73,67,71,69,59,79,68,66,66,73,75,79,75,72,73,69,72,78,72,65,80,51,73,70,65,71,59,56,60,6,16,16,15,15,,71+1,71+1,71+1,73,72,72,72,73,72+1,72+1,72+1,73+1,69+1,69+1,69+1,73+1,67+1,65+1,65+1,65+1,67+1,66+1,64+1,64+1,64+1,66+1,20+1,https://cdn.sofifa.net/players/198/489/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1355/60.png,https://cdn.sofifa.net/flags/ie.png
569,176993,https://sofifa.com/player/176993/bojan-krkic-perez/180002,Bojan,Bojan Krkić Pérez,"CAM, ST",79,80,15000000.0,30000.0,26,1990-08-28,170,65,463.0,Deportivo Alavés,Spain Primera Division,1.0,CAM,15.0,Stoke City,,2018.0,45,Spain,,,,Right,4,4,2,High/Low,Lean (170-),Yes,,,"Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",76.0,72.0,76.0,78.0,25.0,47.0,68,70,42,81,79,77,83,66,72,78,78,75,84,72,85,76,48,67,43,70,30,29,77,81,71,74,20,22,19,5,14,8,14,7,,70+2,70+2,70+2,76+1,76+1,76+1,76+1,76+1,77+2,77+2,77+2,75+2,71+2,71+2,71+2,75+2,54+2,51+2,51+2,51+2,54+2,49+2,37+2,37+2,37+2,49+2,17+2,https://cdn.sofifa.net/players/176/993/18_120.png,https://cdn.sofifa.net/teams/463/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png
