,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
2467,213655,https://sofifa.com/player/213655/alex-iwobi/180002,A. Iwobi,Alex Iwobi,LM,74,85,9500000.0,60000.0,21,1996-05-03,180,75,1.0,Arsenal,English Premier League,1.0,SUB,17.0,,2013-07-01,2020.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,19500000.0,,"Flair, Technical Dribbler (AI)",78.0,61.0,66.0,82.0,28.0,65.0,52,63,42,80,48,83,50,40,57,83,79,78,77,72,76,67,50,70,72,54,46,24,68,75,56,70,29,26,23,14,7,12,14,11,,68+1,68+1,68+1,73,74,74,74,73,75+1,75+1,75+1,73+1,68+1,68+1,68+1,73+1,54+1,53+1,53+1,53+1,54+1,50+1,43+1,43+1,43+1,50+1,18+1,https://cdn.sofifa.net/players/213/655/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
3476,179613,https://sofifa.com/player/179613/bakary-sako/180002,B. Sako,Bakary Sako,LM,72,72,3000000.0,40000.0,29,1988-04-26,183,90,1799.0,Crystal Palace,English Premier League,1.0,RES,26.0,,2015-08-05,2018.0,126,Mali,,,,Left,3,3,1,High/Medium,Stocky (170-185),Yes,5800000.0,,"Avoids Using Weaker Foot, Long Shot Taker (AI)",74.0,71.0,69.0,74.0,39.0,76.0,75,66,61,67,68,76,74,73,63,73,73,74,72,67,67,79,60,64,84,75,75,40,72,69,70,69,37,33,35,13,16,13,7,9,,71+1,71+1,71+1,72,71,71,71,72,71+1,71+1,71+1,71+1,66+1,66+1,66+1,71+1,58+1,56+1,56+1,56+1,58+1,55+1,52+1,52+1,52+1,55+1,17+1,https://cdn.sofifa.net/players/179/613/18_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ml.png
481,198784,https://sofifa.com/player/198784/alex-oxlade-chamberlain/180002,A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,"RM, LM, RWB",80,85,20000000.0,100000.0,23,1993-08-15,175,70,9.0,Liverpool,English Premier League,1.0,SUB,21.0,,2017-08-31,2022.0,14,England,1318.0,RM,11.0,Right,4,4,2,High/Medium,Stocky (170-185),Yes,39500000.0,,"Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI)",88.0,70.0,74.0,84.0,52.0,71.0,75,68,39,78,58,85,67,53,73,82,87,88,84,74,88,75,66,76,70,74,66,51,74,72,69,73,52,57,54,16,9,6,9,9,,72+1,72+1,72+1,79,77,77,77,79,78+1,78+1,78+1,79+1,74+1,74+1,74+1,79+1,69+1,67+1,67+1,67+1,69+1,66+1,59+1,59+1,59+1,66+1,17+1,https://cdn.sofifa.net/players/198/784/18_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
1698,178567,https://sofifa.com/player/178567/erik-pieters/180002,E. Pieters,Erik Pieters,"LB, LWB",75,75,5500000.0,50000.0,28,1988-08-07,183,84,1806.0,Stoke City,English Premier League,1.0,LWB,3.0,,2013-07-01,2020.0,34,Netherlands,,,,Left,2,2,2,Medium/Medium,Normal (170-185),Yes,10500000.0,,Avoids Using Weaker Foot,66.0,40.0,65.0,67.0,78.0,78.0,58,32,73,75,34,64,67,56,60,73,63,69,65,71,57,51,68,75,77,36,85,77,61,61,65,67,77,80,81,16,15,8,12,10,,59+1,59+1,59+1,62,61,61,61,62,63+1,63+1,63+1,64+1,67+1,67+1,67+1,64+1,73+1,74+1,74+1,74+1,73+1,74+1,77-2,77-2,77-2,74+1,19+1,https://cdn.sofifa.net/players/178/567/18_120.png,https://cdn.sofifa.net/teams/1806/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/nl.png
520,231677,https://sofifa.com/player/231677/marcus-rashford/180002,M. Rashford,Marcus Rashford,"ST, RM, LM",80,89,22500000.0,90000.0,19,1997-10-31,185,70,11.0,Manchester United,English Premier League,1.0,LM,19.0,,2014-07-01,2020.0,14,England,1318.0,LM,7.0,Right,4,4,2,High/Low,Normal (185+),Yes,46100000.0,"#Speedster, #Acrobat","Beat Offside Trap, Flair, Speed Dribbler (AI)",92.0,76.0,72.0,82.0,34.0,74.0,72,79,68,74,71,83,74,73,65,79,93,92,90,76,78,82,63,83,73,66,67,42,81,73,74,74,22,32,25,11,6,15,7,14,,79+1,79+1,79+1,80,79,79,79,80,78+1,78+1,78+1,79+1,71+1,71+1,71+1,79+1,61+1,57+1,57+1,57+1,61+1,58+1,50+1,50+1,50+1,58+1,17+1,https://cdn.sofifa.net/players/231/677/18_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
858,204884,https://sofifa.com/player/204884/benjamin-mendy/180002,B. Mendy,Benjamin Mendy,"LB, LWB",78,86,13000000.0,90000.0,22,1994-07-17,185,85,10.0,Manchester City,English Premier League,1.0,SUB,22.0,,2017-07-24,2022.0,18,France,1335.0,LB,3.0,Left,3,2,2,High/Medium,Normal (185+),No,26700000.0,,"Injury Prone, Early Crosser",82.0,48.0,70.0,75.0,74.0,79.0,82,33,64,76,20,76,77,29,68,76,79,84,68,76,71,68,69,82,81,63,75,76,70,58,40,70,73,76,78,7,7,9,15,9,,65+1,65+1,65+1,71,68,68,68,71,69+1,69+1,69+1,73+1,71+1,71+1,71+1,73+1,78+1,75+1,75+1,75+1,78+1,77+1,75+1,75+1,75+1,77+1,17+1,https://cdn.sofifa.net/players/204/884/18_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
10542,225782,https://sofifa.com/player/225782/ainsley-maitland-niles/180002,A. Maitland-Niles,Ainsley Maitland-Niles,"RM, CM",65,78,1000000.0,15000.0,19,1997-08-29,177,71,1.0,Arsenal,English Premier League,1.0,SUB,30.0,,2014-10-24,2019.0,14,England,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,2500000.0,,,74.0,53.0,62.0,65.0,57.0,66.0,60,51,38,68,39,65,44,36,66,63,77,72,74,62,70,58,58,72,68,54,55,61,56,60,54,55,57,59,58,15,9,7,10,13,,58+1,58+1,58+1,63,61,61,61,63,63+1,63+1,63+1,64+1,63+1,63+1,63+1,64+1,64+1,63+1,63+1,63+1,64+1,62+1,58+1,58+1,58+1,62+1,17+1,https://cdn.sofifa.net/players/225/782/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1670,169638,https://sofifa.com/player/169638/charlie-daniels/180002,C. Daniels,Charlie Daniels,LB,75,75,4800000.0,50000.0,30,1986-09-07,178,75,1943.0,AFC Bournemouth,English Premier League,1.0,LB,11.0,,2012-01-01,2020.0,14,England,,,,Left,3,2,1,High/Medium,Normal (170-185),Yes,9100000.0,,"Long Throw-in, Injury Free, Early Crosser",76.0,55.0,72.0,74.0,72.0,70.0,74,50,64,73,45,74,67,68,69,74,77,75,73,70,72,68,78,79,72,47,51,71,71,71,72,69,72,76,74,14,16,13,6,7,,66+1,66+1,66+1,70,69,69,69,70,70+1,70+1,70+1,72+1,71+1,71+1,71+1,72+1,74+1,72+1,72+1,72+1,74+1,74+1,71+1,71+1,71+1,74+1,17+1,https://cdn.sofifa.net/players/169/638/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
463,190717,https://sofifa.com/player/190717/michail-antonio/180002,M. Antonio,Michail Antonio,"ST, RM, RWB",80,81,17500000.0,120000.0,27,1990-03-28,180,80,19.0,West Ham United,English Premier League,1.0,RM,30.0,,2015-09-01,2021.0,14,England,,,,Right,4,4,2,High/High,Stocky (170-185),Yes,34600000.0,,"Flair, Speed Dribbler (AI), Power Header, Giant Throw-in",85.0,74.0,70.0,81.0,52.0,82.0,73,74,88,73,69,83,66,60,67,78,82,87,86,76,76,76,84,78,86,72,75,40,77,65,73,70,44,56,53,12,13,8,14,10,,79+1,79+1,79+1,77,77,77,77,77,75+1,75+1,75+1,77+1,71+1,71+1,71+1,77+1,66+1,63+1,63+1,63+1,66+1,65+1,64+1,64+1,64+1,65+1,19+1,https://cdn.sofifa.net/players/190/717/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
453,186146,https://sofifa.com/player/186146/danny-welbeck/180002,D. Welbeck,Daniel Nii Tackie Mensah Welbeck,ST,80,81,17500000.0,130000.0,26,1990-11-26,185,73,1.0,Arsenal,English Premier League,1.0,SUB,23.0,,2014-09-02,2019.0,14,England,,,,Right,3,3,3,High/High,Normal (185+),Yes,33700000.0,,"Diver, Speed Dribbler (AI)",84.0,74.0,71.0,79.0,37.0,78.0,69,75,75,76,76,80,61,62,64,78,83,84,82,78,63,77,80,81,78,69,75,32,80,72,70,76,28,38,33,9,10,6,12,16,,78+2,78+2,78+2,77+1,78+1,78+1,78+1,77+1,77+2,77+2,77+2,77+2,71+2,71+2,71+2,77+2,60+2,58+2,58+2,58+2,60+2,58+2,53+2,53+2,53+2,58+2,19+2,https://cdn.sofifa.net/players/186/146/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
3813,215639,https://sofifa.com/player/215639/robert-kenedy-nunes-do-nascimento/180002,Kenedy,Robert Kenedy Nunes do Nascimento,"LM, LB",72,82,5000000.0,50000.0,21,1996-02-08,182,77,5.0,Chelsea,English Premier League,1.0,SUB,16.0,,2015-08-23,2020.0,54,Brazil,,,,Left,3,3,1,Medium/Medium,Normal (170-185),Yes,10300000.0,,"Injury Prone, Avoids Using Weaker Foot",80.0,66.0,64.0,76.0,49.0,64.0,63,64,66,66,55,77,60,54,65,77,83,78,84,67,62,75,69,73,70,66,34,52,67,65,67,66,43,48,44,11,15,11,15,12,,70+1,70+1,70+1,71,71,71,71,71,71+1,71+1,71+1,71+1,67+1,67+1,67+1,71+1,62+1,59+1,59+1,59+1,62+1,60+1,55+1,55+1,55+1,60+1,19+1,https://cdn.sofifa.net/players/215/639/18_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
