,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
121,208722,https://sofifa.com/player/208722/sadio-mane/180002,S. Mané,Sadio Mané,"RW, LW",84,87,39000000.0,170000.0,25,1992-04-10,175,69,9.0,Liverpool,English Premier League,1.0,LW,19.0,,2016-07-01,2020.0,136,Senegal,,,,Right,3,4,3,High/Medium,Normal (170-185),Yes,77000000.0,"#Speedster, #Dribbler, #Acrobat","Diver, Beat Offside Trap, Flair, Speed Dribbler (AI)",93.0,78.0,75.0,85.0,36.0,75.0,72,83,53,77,68,86,74,64,71,84,94,92,89,80,85,77,75,82,72,69,73,31,84,78,71,78,33,35,38,10,10,15,7,14,,79+2,79+2,79+2,83+1,82+1,82+1,82+1,83+1,81+2,81+2,81+2,82+2,74+2,74+2,74+2,82+2,63+2,60+2,60+2,60+2,63+2,60+2,51+2,51+2,51+2,60+2,18+2,https://cdn.sofifa.net/players/208/722/18_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
2467,213655,https://sofifa.com/player/213655/alex-iwobi/180002,A. Iwobi,Alex Iwobi,LM,74,85,9500000.0,60000.0,21,1996-05-03,180,75,1.0,Arsenal,English Premier League,1.0,SUB,17.0,,2013-07-01,2020.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,19500000.0,,"Flair, Technical Dribbler (AI)",78.0,61.0,66.0,82.0,28.0,65.0,52,63,42,80,48,83,50,40,57,83,79,78,77,72,76,67,50,70,72,54,46,24,68,75,56,70,29,26,23,14,7,12,14,11,,68+1,68+1,68+1,73,74,74,74,73,75+1,75+1,75+1,73+1,68+1,68+1,68+1,73+1,54+1,53+1,53+1,53+1,54+1,50+1,43+1,43+1,43+1,50+1,18+1,https://cdn.sofifa.net/players/213/655/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
1596,54051,https://sofifa.com/player/54051/wayne-routledge/180002,W. Routledge,Wayne Routledge,"RM, RW, LM",75,75,5000000.0,60000.0,32,1985-01-07,170,77,1960.0,Swansea City,English Premier League,1.0,SUB,15.0,,2011-08-01,2019.0,14,England,,,,Right,2,4,2,High/High,Stocky (170-),Yes,9500000.0,,"Avoids Using Weaker Foot, Outside Foot Shot",72.0,66.0,70.0,81.0,36.0,61.0,74,69,34,73,71,83,61,28,72,77,71,72,79,73,87,68,71,68,67,55,36,39,72,74,63,69,30,37,46,15,11,8,10,15,,68+1,68+1,68+1,74,73,73,73,74,74+1,74+1,74+1,74+1,70+1,70+1,70+1,74+1,60+1,57+1,57+1,57+1,60+1,56+1,47+1,47+1,47+1,56+1,19+1,https://cdn.sofifa.net/players/054/051/18_120.png,https://cdn.sofifa.net/teams/1960/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
3033,207807,https://sofifa.com/player/207807/ryan-fraser/180002,R. Fraser,Ryan Fraser,"RM, LM",73,80,5500000.0,50000.0,23,1994-02-24,163,60,1943.0,AFC Bournemouth,English Premier League,1.0,RM,24.0,,2013-01-01,2020.0,42,Scotland,,,,Right,4,3,1,High/Medium,Normal (170-),Yes,11600000.0,#Acrobat,"Diver, Flair, Speed Dribbler (AI)",88.0,64.0,68.0,76.0,42.0,55.0,72,67,25,69,43,76,70,67,54,71,89,88,92,64,93,60,61,72,41,69,65,35,69,70,56,68,53,43,37,15,14,15,7,10,,63+1,63+1,63+1,73,70,70,70,73,71+1,71+1,71+1,72+1,65+1,65+1,65+1,72+1,61+1,55+1,55+1,55+1,61+1,57+1,47+1,47+1,47+1,57+1,17+1,https://cdn.sofifa.net/players/207/807/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-sct.png
1083,198719,https://sofifa.com/player/198719/nathan-redmond/180002,N. Redmond,Nathan Redmond,"LM, RM, ST",77,85,13000000.0,70000.0,23,1994-03-06,173,69,17.0,Southampton,English Premier League,1.0,LM,22.0,,2016-07-01,2021.0,14,England,,,,Right,3,4,2,High/Medium,Lean (170-185),Yes,27300000.0,#Acrobat,"Flair, Long Shot Taker (AI), Speed Dribbler (AI), Backs Into Player",87.0,69.0,70.0,82.0,24.0,52.0,72,69,33,72,55,83,69,65,63,79,89,86,91,65,86,71,50,72,47,71,38,22,74,72,57,70,18,26,30,12,14,16,6,10,,68+1,68+1,68+1,77,75,75,75,77,75+1,75+1,75+1,76+1,67+1,67+1,67+1,76+1,56+1,49+1,49+1,49+1,56+1,51+1,37+1,37+1,37+1,51+1,17+1,https://cdn.sofifa.net/players/198/719/18_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1284,169792,https://sofifa.com/player/169792/jay-rodriguez/180002,J. Rodriguez,Jay Rodriguez,"LM, ST",76,76,8000000.0,70000.0,27,1989-07-29,185,80,109.0,West Bromwich Albion,English Premier League,1.0,LM,19.0,,2017-07-02,2021.0,14,England,,,,Right,4,3,2,High/Medium,Lean (185+),Yes,15200000.0,,"Diver, Injury Prone, Beat Offside Trap, Long Shot Taker (AI), Speed Dribbler (AI)",77.0,75.0,68.0,76.0,32.0,67.0,68,77,76,75,74,77,69,29,66,75,76,78,75,77,64,74,81,76,71,72,41,44,80,69,71,75,16,28,21,12,12,16,14,9,,76,76,76,75,76,76,76,75,75+1,75+1,75+1,75+1,70+1,70+1,70+1,75+1,57+1,54+1,54+1,54+1,57+1,54+1,47+1,47+1,47+1,54+1,19+1,https://cdn.sofifa.net/players/169/792/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
235,184200,https://sofifa.com/player/184200/marko-arnautovic/180002,M. Arnautović,Marko Arnautović,"LM, RM, LW",82,82,22500000.0,120000.0,28,1989-04-19,192,83,19.0,West Ham United,English Premier League,1.0,LM,27.0,,2017-07-23,2022.0,4,Austria,1322.0,LW,7.0,Right,4,4,3,Medium/Medium,Normal (185+),Yes,42800000.0,,"Diver, Selfish, Flair, Technical Dribbler (AI)",77.0,74.0,79.0,81.0,53.0,81.0,83,73,71,79,79,84,79,74,74,85,76,78,72,75,57,78,68,79,84,71,81,53,80,81,77,77,49,60,30,14,15,10,10,15,,78+2,78+2,78+2,80+1,79+1,79+1,79+1,80+1,79+2,79+2,79+2,80+2,77+2,77+2,77+2,80+2,68+2,68+2,68+2,68+2,68+2,64+2,63+2,63+2,63+2,64+2,20+2,https://cdn.sofifa.net/players/184/200/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1322/60.png,https://cdn.sofifa.net/flags/at.png
1025,185422,https://sofifa.com/player/185422/joshua-king/180002,J. King,Joshua Christian Kojo King,"ST, CF, CAM",77,81,11500000.0,70000.0,25,1992-01-15,180,74,1943.0,AFC Bournemouth,English Premier League,1.0,CF,17.0,,2015-07-01,2021.0,36,Norway,1352.0,SUB,18.0,Right,2,3,1,Medium/Medium,Normal (170-185),Yes,22700000.0,,"Beat Offside Trap, Flair, Speed Dribbler (AI)",90.0,77.0,60.0,76.0,29.0,70.0,63,82,63,68,67,77,69,42,48,74,87,92,78,72,71,78,72,73,77,69,50,33,77,56,72,72,22,26,19,12,9,11,12,7,,76+1,76+1,76+1,75,75,75,75,75,71+1,71+1,71+1,73+1,63+1,63+1,63+1,73+1,55+1,50+1,50+1,50+1,55+1,52+1,45+1,45+1,45+1,52+1,17+1,https://cdn.sofifa.net/players/185/422/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1352/60.png,https://cdn.sofifa.net/flags/no.png
358,198717,https://sofifa.com/player/198717/wilfried-zaha/180002,W. Zaha,Wilfried Zaha,"RM, LM",81,84,22500000.0,60000.0,24,1992-11-10,180,66,1799.0,Crystal Palace,English Premier League,1.0,LM,11.0,,2015-02-02,2022.0,108,Côte d'Ivoire,111112.0,SUB,9.0,Right,3,4,2,High/Medium,Lean (170-185),Yes,44400000.0,#Dribbler,"Selfish, Flair, Technical Dribbler (AI)",90.0,71.0,71.0,86.0,33.0,72.0,79,74,43,72,59,88,54,51,65,86,89,90,89,73,79,75,50,78,73,62,68,23,74,74,66,76,36,32,34,15,10,15,11,10,,74+1,74+1,74+1,80,78,78,78,80,78+1,78+1,78+1,80+1,70+1,70+1,70+1,80+1,61+1,56+1,56+1,56+1,61+1,57+1,47+1,47+1,47+1,57+1,18+1,https://cdn.sofifa.net/players/198/717/18_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/111112/60.png,https://cdn.sofifa.net/flags/ci.png
224,178224,https://sofifa.com/player/178224/javier-hernandez/180002,J. Hernández,Javier Hernández Balcázar,ST,82,82,22000000.0,130000.0,29,1988-06-01,175,73,19.0,West Ham United,English Premier League,1.0,ST,17.0,,2017-07-24,2020.0,83,Mexico,1386.0,RS,14.0,Right,3,3,3,Medium/Low,Normal (170-185),Yes,41800000.0,#Poacher,"Beat Offside Trap, Finesse Shot",79.0,80.0,66.0,78.0,31.0,59.0,62,87,82,70,79,76,67,52,55,79,84,75,81,83,83,76,82,68,53,69,59,26,87,72,76,81,22,29,25,14,12,9,12,11,,80+2,80+2,80+2,77+1,79+1,79+1,79+1,77+1,76+2,76+2,76+2,75+2,68+2,68+2,68+2,75+2,55+2,51+2,51+2,51+2,55+2,52+2,46+2,46+2,46+2,52+2,20+2,https://cdn.sofifa.net/players/178/224/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1386/60.png,https://cdn.sofifa.net/flags/mx.png
