,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
1922,212491,https://sofifa.com/player/212491/arthur-masuaku/180002,A. Masuaku,Arthur Masuaku,"LB, LWB",75,81,7500000.0,60000.0,23,1993-11-07,179,70,19.0,West Ham United,English Premier League,1.0,SUB,26.0,,2016-08-08,2020.0,110,Congo DR,,,,Left,2,3,1,High/Medium,Lean (170-185),Yes,15800000.0,,"Avoids Using Weaker Foot, Flair, Speed Dribbler (AI)",86.0,66.0,70.0,78.0,70.0,73.0,75,60,60,71,61,80,69,48,68,76,87,86,76,75,81,77,69,77,74,71,65,66,68,71,49,73,70,74,73,8,7,10,7,7,,71+1,71+1,71+1,75,73,73,73,75,73+1,73+1,73+1,75+1,72+1,72+1,72+1,75+1,74+1,71+1,71+1,71+1,74+1,74+1,70+1,70+1,70+1,74+1,15+1,https://cdn.sofifa.net/players/212/491/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/cd.png
2732,169345,https://sofifa.com/player/169345/markus-suttner/180002,M. Suttner,Markus Suttner,"LB, LWB",73,73,2900000.0,40000.0,30,1987-04-16,179,73,1808.0,Brighton & Hove Albion,English Premier League,1.0,LB,29.0,,2017-07-13,2020.0,4,Austria,,,,Left,3,3,1,High/Medium,Normal (170-185),No,5800000.0,,"Early Crosser, Long Shot Taker (AI)",74.0,58.0,71.0,71.0,69.0,71.0,76,48,59,73,63,69,75,81,65,72,74,74,75,74,72,75,74,78,69,70,68,69,51,65,38,72,69,72,71,10,13,15,7,15,,64+1,64+1,64+1,68,66,66,66,68,67+1,67+1,67+1,69+1,69+1,69+1,69+1,69+1,73,71+1,71+1,71+1,73,72+1,69+1,69+1,69+1,72+1,18+1,https://cdn.sofifa.net/players/169/345/18_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/at.png
261,200104,https://sofifa.com/player/200104/heung-min-son/180002,H. Son,손흥민 孙兴慜,"LM, RM, ST",82,85,28000000.0,90000.0,24,1992-07-08,183,77,18.0,Tottenham Hotspur,English Premier League,1.0,LM,7.0,,2015-08-28,2020.0,167,Korea Republic,,,,Right,5,4,3,High/High,Lean (170-185),Yes,55300000.0,,"Diver, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI)",86.0,83.0,75.0,83.0,25.0,66.0,75,83,65,78,73,85,81,70,64,82,87,86,79,81,77,83,65,80,62,86,60,29,83,78,71,78,17,19,23,11,13,13,6,10,,80+1,80+1,80+1,82,82,82,82,82,81+1,81+1,81+1,81+1,73+1,73+1,73+1,81+1,59+1,54+1,54+1,54+1,59+1,54+1,43+1,43+1,43+1,54+1,18+1,https://cdn.sofifa.net/players/200/104/18_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/kr.png
423,169705,https://sofifa.com/player/169705/ryan-bertrand/180002,R. Bertrand,Ryan Bertrand,LB,80,80,12000000.0,90000.0,27,1989-08-05,179,85,17.0,Southampton,English Premier League,1.0,LB,21.0,,2015-02-02,2021.0,14,England,1318.0,SUB,14.0,Left,3,2,2,High/Medium,Normal (170-185),Yes,22800000.0,,Dives Into Tackles (AI),79.0,53.0,71.0,77.0,79.0,75.0,82,50,69,76,43,77,74,66,70,79,79,79,76,76,68,59,71,83,73,54,73,77,63,51,52,76,79,82,82,11,13,15,10,15,,66+1,66+1,66+1,71,68,68,68,71,69+1,69+1,69+1,73+1,71+1,71+1,71+1,73+1,79+1,76+1,76+1,76+1,79+1,79+1,77+1,77+1,77+1,79+1,19+1,https://cdn.sofifa.net/players/169/705/18_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
2989,203544,https://sofifa.com/player/203544/chris-lowe/180002,C. Löwe,Chris Jörg Löwe,LB,73,73,3200000.0,40000.0,28,1989-04-16,175,68,1939.0,Huddersfield Town,English Premier League,1.0,LB,15.0,,2016-07-01,2019.0,21,Germany,,,,Left,2,3,1,Medium/High,Lean (170-185),No,6300000.0,,Dives Into Tackles (AI),79.0,60.0,68.0,70.0,70.0,69.0,70,53,56,68,52,68,71,65,67,70,80,79,76,71,80,72,79,85,61,64,68,71,62,65,74,68,73,70,71,14,12,8,8,12,,64+1,64+1,64+1,68,67,67,67,68,67+1,67+1,67+1,69+1,68+1,68+1,68+1,69+1,73,70+1,70+1,70+1,73,72+1,69+1,69+1,69+1,72+1,18+1,https://cdn.sofifa.net/players/203/544/18_120.png,https://cdn.sofifa.net/teams/1939/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/de.png
1670,169638,https://sofifa.com/player/169638/charlie-daniels/180002,C. Daniels,Charlie Daniels,LB,75,75,4800000.0,50000.0,30,1986-09-07,178,75,1943.0,AFC Bournemouth,English Premier League,1.0,LB,11.0,,2012-01-01,2020.0,14,England,,,,Left,3,2,1,High/Medium,Normal (170-185),Yes,9100000.0,,"Long Throw-in, Injury Free, Early Crosser",76.0,55.0,72.0,74.0,72.0,70.0,74,50,64,73,45,74,67,68,69,74,77,75,73,70,72,68,78,79,72,47,51,71,71,71,72,69,72,76,74,14,16,13,6,7,,66+1,66+1,66+1,70,69,69,69,70,70+1,70+1,70+1,72+1,71+1,71+1,71+1,72+1,74+1,72+1,72+1,72+1,74+1,74+1,71+1,71+1,71+1,74+1,17+1,https://cdn.sofifa.net/players/169/638/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
654,205988,https://sofifa.com/player/205988/luke-shaw/180002,L. Shaw,Luke Shaw,LB,79,84,14000000.0,90000.0,21,1995-07-12,185,75,11.0,Manchester United,English Premier League,1.0,SUB,23.0,,2014-06-27,2018.0,14,England,,,,Left,2,2,2,High/Medium,Stocky (185+),Yes,27000000.0,,"Injury Prone, Avoids Using Weaker Foot, Speed Dribbler (AI)",82.0,51.0,71.0,77.0,76.0,76.0,80,44,65,75,58,77,63,58,64,78,80,84,78,77,75,62,68,74,79,48,74,78,73,65,53,75,74,79,79,10,12,13,7,7,,67+1,67+1,67+1,72,70,70,70,72,71+1,71+1,71+1,74+1,71+1,71+1,71+1,74+1,78+1,75+1,75+1,75+1,78+1,78+1,76+1,76+1,76+1,78+1,17+1,https://cdn.sofifa.net/players/205/988/18_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
4480,204355,https://sofifa.com/player/204355/paul-dummett/180002,P. Dummett,Paul Dummett,"LB, CB",71,75,2500000.0,40000.0,25,1991-09-26,183,77,13.0,Newcastle United,English Premier League,1.0,LB,3.0,,2010-07-01,2019.0,50,Wales,,,,Left,2,2,1,High/Medium,Lean (170-185),Yes,5000000.0,,"Early Crosser, Long Passer (AI)",65.0,40.0,62.0,67.0,72.0,71.0,61,41,72,70,33,66,54,52,68,69,66,65,64,69,76,40,73,72,73,35,65,65,55,51,43,60,74,75,74,15,11,13,11,13,,58+1,58+1,58+1,61,59,59,59,61,61+1,61+1,61+1,63+1,64+1,64+1,64+1,63+1,69+1,69+1,69+1,69+1,69+1,70+1,71+1,71+1,71+1,70+1,19+1,https://cdn.sofifa.net/players/204/355/18_120.png,https://cdn.sofifa.net/teams/13/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-wls.png
772,186115,https://sofifa.com/player/186115/kieran-gibbs/180002,K. Gibbs,Kieran Gibbs,LB,78,78,8500000.0,60000.0,27,1989-09-26,179,70,109.0,West Bromwich Albion,English Premier League,1.0,LB,3.0,,2017-08-30,2021.0,14,England,,,,Left,2,3,2,High/Medium,Lean (170-185),Yes,16200000.0,,"Injury Prone, Avoids Using Weaker Foot",79.0,55.0,70.0,74.0,77.0,72.0,76,47,68,74,47,74,64,52,65,75,77,80,73,77,74,67,71,77,69,60,72,78,63,65,63,75,76,79,78,6,11,8,9,15,,66+1,66+1,66+1,70,69,69,69,70,69+1,69+1,69+1,72+1,71+1,71+1,71+1,72+1,77+1,74+1,74+1,74+1,77+1,77+1,75+1,75+1,75+1,77+1,17+1,https://cdn.sofifa.net/players/186/115/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1486,210972,https://sofifa.com/player/210972/javier-manquillo-gaitan/180002,Manquillo,Javier Manquillo Gaitán,"RB, LB",76,82,9000000.0,50000.0,23,1994-05-05,180,72,13.0,Newcastle United,English Premier League,1.0,RB,19.0,,2017-07-21,2020.0,45,Spain,,,,Right,3,2,1,High/Medium,Normal (170-185),Yes,18900000.0,,,76.0,45.0,65.0,71.0,73.0,72.0,79,32,63,73,37,71,75,51,66,73,78,74,74,69,64,69,68,89,66,44,67,69,69,39,46,64,73,78,75,14,7,14,12,13,,62+1,62+1,62+1,66,63,63,63,66,63+1,63+1,63+1,69+1,66+1,66+1,66+1,69+1,75+1,71+1,71+1,71+1,75+1,75+1,71+1,71+1,71+1,75+1,18+1,https://cdn.sofifa.net/players/210/972/18_120.png,https://cdn.sofifa.net/teams/13/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/es.png
