,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
773,186345,https://sofifa.com/player/186345/kieran-trippier/180002,K. Trippier,Kieran Trippier,"RB, RWB",78,81,10500000.0,80000.0,26,1990-09-19,178,72,18.0,Tottenham Hotspur,English Premier League,1.0,SUB,2.0,,2015-06-19,2022.0,14,England,,,,Right,4,3,2,High/High,Normal (170-185),Yes,20700000.0,"#Engine, #Crosser","Long Throw-in, Injury Free, Early Crosser",77.0,56.0,77.0,75.0,76.0,75.0,87,45,70,73,44,75,80,68,76,75,78,77,77,72,76,77,74,87,71,66,70,74,60,78,39,71,77,76,78,11,14,8,11,10,,66+1,66+1,66+1,72,69,69,69,72,71+1,71+1,71+1,74+1,74+1,74+1,74+1,74+1,78+1,75+1,75+1,75+1,78+1,77+1,74+1,74+1,74+1,77+1,18+1,https://cdn.sofifa.net/players/186/345/18_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
6565,231281,https://sofifa.com/player/231281/trent-alexander-arnold/180002,T. Alexander-Arnold,Trent Alexander-Arnold,"RB, RM, CM",69,85,1900000.0,20000.0,18,1998-10-07,175,69,9.0,Liverpool,English Premier League,1.0,SUB,66.0,,2015-10-07,2021.0,14,England,,,,Right,3,2,1,High/Medium,Lean (170-185),Yes,4900000.0,,Early Crosser,81.0,58.0,70.0,67.0,64.0,66.0,70,56,56,73,41,68,73,74,67,63,81,81,75,60,75,62,67,78,59,63,69,64,62,63,55,65,63,66,64,14,15,14,6,7,,62+1,62+1,62+1,67,65,65,65,67,66+1,66+1,66+1,68+1,66+1,66+1,66+1,68+1,69+1,66+1,66+1,66+1,69+1,68+1,64+1,64+1,64+1,68+1,16+1,https://cdn.sofifa.net/players/231/281/18_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1712,183288,https://sofifa.com/player/183288/yohan-benalouane/180002,Y. Benalouane,Yohan Benalouane,"CB, RB",75,75,4900000.0,50000.0,30,1987-03-28,185,86,95.0,Leicester City,English Premier League,1.0,SUB,29.0,,2015-08-03,2019.0,145,Tunisia,,,,Right,3,2,1,Medium/High,Lean (185+),Yes,9400000.0,,Dives Into Tackles (AI),64.0,39.0,57.0,54.0,75.0,79.0,61,24,67,64,48,47,51,52,63,60,64,64,60,67,59,68,79,67,82,39,87,78,46,40,38,63,73,76,75,14,13,9,14,15,,54+1,54+1,54+1,52,52,52,52,52,52+1,52+1,52+1,55+1,58+1,58+1,58+1,55+1,68+1,70+1,70+1,70+1,68+1,69+1,74+1,74+1,74+1,69+1,20+1,https://cdn.sofifa.net/players/183/288/18_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/tn.png
323,180216,https://sofifa.com/player/180216/seamus-coleman/180002,S. Coleman,Séamus Coleman,RB,81,81,14000000.0,110000.0,28,1988-10-11,177,67,7.0,Everton,English Premier League,1.0,SUB,23.0,,2009-02-04,2022.0,25,Republic of Ireland,1355.0,RB,2.0,Right,3,3,2,High/High,Normal (170-185),Yes,26600000.0,,Avoids Using Weaker Foot,73.0,66.0,72.0,78.0,80.0,77.0,81,62,67,78,64,78,42,35,70,78,74,72,76,83,74,75,72,84,73,68,78,76,75,70,60,78,82,84,83,5,15,10,13,7,,72+1,72+1,72+1,75,74,74,74,75,75+1,75+1,75+1,76+1,76+1,76+1,76+1,76+1,80+1,78+1,78+1,78+1,80+1,80+1,78+1,78+1,78+1,80+1,18+1,https://cdn.sofifa.net/players/180/216/18_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1355/60.png,https://cdn.sofifa.net/flags/ie.png
3033,207807,https://sofifa.com/player/207807/ryan-fraser/180002,R. Fraser,Ryan Fraser,"RM, LM",73,80,5500000.0,50000.0,23,1994-02-24,163,60,1943.0,AFC Bournemouth,English Premier League,1.0,RM,24.0,,2013-01-01,2020.0,42,Scotland,,,,Right,4,3,1,High/Medium,Normal (170-),Yes,11600000.0,#Acrobat,"Diver, Flair, Speed Dribbler (AI)",88.0,64.0,68.0,76.0,42.0,55.0,72,67,25,69,43,76,70,67,54,71,89,88,92,64,93,60,61,72,41,69,65,35,69,70,56,68,53,43,37,15,14,15,7,10,,63+1,63+1,63+1,73,70,70,70,73,71+1,71+1,71+1,72+1,65+1,65+1,65+1,72+1,61+1,55+1,55+1,55+1,61+1,57+1,47+1,47+1,47+1,57+1,17+1,https://cdn.sofifa.net/players/207/807/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-sct.png
1040,189060,https://sofifa.com/player/189060/aleksandar-dragovic/180002,A. Dragović,Aleksandar Dragović,CB,77,80,9000000.0,60000.0,26,1991-03-06,184,76,95.0,Leicester City,English Premier League,1.0,SUB,24.0,Bayer 04 Leverkusen,,2018.0,4,Austria,1322.0,RCB,3.0,Right,4,2,2,Medium/Medium,Normal (170-185),No,,,,72.0,51.0,61.0,65.0,78.0,76.0,49,41,76,68,37,62,32,61,62,68,69,74,66,74,64,69,80,73,80,53,69,81,63,65,65,70,76,80,75,10,7,11,13,8,,63+1,63+1,63+1,62,64,64,64,62,64+1,64+1,64+1,64+1,67+1,67+1,67+1,64+1,71+1,73+1,73+1,73+1,71+1,72+1,76+1,76+1,76+1,72+1,17+1,https://cdn.sofifa.net/players/189/060/18_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1322/60.png,https://cdn.sofifa.net/flags/at.png
1423,199633,https://sofifa.com/player/199633/matthew-lowton/180002,M. Lowton,Matthew Lowton,RB,76,76,6000000.0,60000.0,28,1989-06-09,180,78,1796.0,Burnley,English Premier League,1.0,RB,2.0,,2015-06-22,2020.0,14,England,,,,Right,3,2,1,High/High,Normal (170-185),Yes,11400000.0,,"Long Throw-in, Early Crosser",75.0,60.0,69.0,73.0,74.0,77.0,75,52,71,72,70,72,68,46,63,74,76,75,72,76,71,72,77,81,75,68,76,74,60,68,49,74,73,74,76,11,6,6,13,7,,68+1,68+1,68+1,70,69,69,69,70,69+1,69+1,69+1,71+1,70+1,70+1,70+1,71+1,75+1,73+1,73+1,73+1,75+1,75+1,74+1,74+1,74+1,75+1,16+1,https://cdn.sofifa.net/players/199/633/18_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
4453,202697,https://sofifa.com/player/202697/jack-stephens/180002,J. Stephens,Jack Stephens,CB,71,79,3000000.0,40000.0,23,1994-01-27,185,75,17.0,Southampton,English Premier League,1.0,SUB,5.0,,2011-04-01,2022.0,14,England,,,,Right,3,2,1,Medium/Medium,Lean (185+),Yes,6300000.0,,,61.0,41.0,55.0,62.0,72.0,69.0,47,36,68,66,34,60,55,58,53,66,57,64,60,65,58,49,67,66,74,42,63,72,47,44,42,65,71,74,69,13,10,11,13,10,,55+1,55+1,55+1,55,55,55,55,55,56+1,56+1,56+1,57+1,59+1,59+1,59+1,57+1,65+1,66+1,66+1,66+1,65+1,66+1,70+1,70+1,70+1,66+1,17+1,https://cdn.sofifa.net/players/202/697/18_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
829,199304,https://sofifa.com/player/199304/danilo-luiz-da-silva/180002,Danilo,Danilo Luiz da Silva,"RB, LB, CB",78,81,10500000.0,100000.0,25,1991-07-15,184,78,10.0,Manchester City,English Premier League,1.0,LWB,3.0,,2017-07-23,2022.0,54,Brazil,,,,Right,4,3,2,High/Medium,Lean (170-185),No,20200000.0,,"Long Shot Taker (AI), Speed Dribbler (AI)",78.0,70.0,71.0,74.0,76.0,79.0,71,61,68,76,72,73,74,76,69,77,75,80,73,79,65,85,75,83,79,72,74,81,75,63,67,69,72,77,78,14,5,15,14,5,,74+1,74+1,74+1,73,73,73,73,73,73+1,73+1,73+1,74+1,74+1,74+1,74+1,74+1,77+1,76+1,76+1,76+1,77+1,77+1,76+1,76+1,76+1,77+1,17+1,https://cdn.sofifa.net/players/199/304/18_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
630,201118,https://sofifa.com/player/201118/cedric-ricardo-alves-soares/180002,Cédric,Cédric Ricardo Alves Soares,RB,79,82,13000000.0,80000.0,25,1991-08-31,172,67,17.0,Southampton,English Premier League,1.0,RB,2.0,,2015-06-18,2020.0,38,Portugal,1354.0,RB,21.0,Right,4,2,2,High/Medium,Normal (170-185),Yes,25700000.0,,,82.0,67.0,72.0,76.0,76.0,72.0,81,57,65,75,68,76,66,64,69,76,84,80,76,76,83,80,73,88,63,78,75,76,71,65,60,69,76,78,79,11,14,12,12,11,,71+1,71+1,71+1,74,73,73,73,74,73+1,73+1,73+1,75+1,74+1,74+1,74+1,75+1,79+1,75+1,75+1,75+1,79+1,78+1,74+1,74+1,74+1,78+1,19+1,https://cdn.sofifa.net/players/201/118/18_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
