,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
2467,213655,https://sofifa.com/player/213655/alex-iwobi/180002,A. Iwobi,Alex Iwobi,LM,74,85,9500000.0,60000.0,21,1996-05-03,180,75,1.0,Arsenal,English Premier League,1.0,SUB,17.0,,2013-07-01,2020.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,19500000.0,,"Flair, Technical Dribbler (AI)",78.0,61.0,66.0,82.0,28.0,65.0,52,63,42,80,48,83,50,40,57,83,79,78,77,72,76,67,50,70,72,54,46,24,68,75,56,70,29,26,23,14,7,12,14,11,,68+1,68+1,68+1,73,74,74,74,73,75+1,75+1,75+1,73+1,68+1,68+1,68+1,73+1,54+1,53+1,53+1,53+1,54+1,50+1,43+1,43+1,43+1,50+1,18+1,https://cdn.sofifa.net/players/213/655/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
424,170368,https://sofifa.com/player/170368/erik-lamela/180002,E. Lamela,Erik Lamela,"RM, LM",80,83,18500000.0,100000.0,25,1992-03-04,181,80,18.0,Tottenham Hotspur,English Premier League,1.0,SUB,11.0,,2013-08-30,2018.0,52,Argentina,,,,Left,2,4,2,High/High,Lean (170-185),Yes,36500000.0,,"Finesse Shot, Flair, Technical Dribbler (AI), Takes Finesse Free Kicks",76.0,77.0,79.0,82.0,45.0,67.0,76,73,71,82,77,85,83,79,72,82,78,74,77,77,70,80,64,77,59,82,74,43,77,80,75,75,37,47,39,10,15,11,8,13,,76+1,76+1,76+1,79,79,79,79,79,80+1,80+1,80+1,79+1,76+1,76+1,76+1,79+1,65+1,63+1,63+1,63+1,65+1,61+1,55+1,55+1,55+1,61+1,19+1,https://cdn.sofifa.net/players/170/368/18_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ar.png
1596,54051,https://sofifa.com/player/54051/wayne-routledge/180002,W. Routledge,Wayne Routledge,"RM, RW, LM",75,75,5000000.0,60000.0,32,1985-01-07,170,77,1960.0,Swansea City,English Premier League,1.0,SUB,15.0,,2011-08-01,2019.0,14,England,,,,Right,2,4,2,High/High,Stocky (170-),Yes,9500000.0,,"Avoids Using Weaker Foot, Outside Foot Shot",72.0,66.0,70.0,81.0,36.0,61.0,74,69,34,73,71,83,61,28,72,77,71,72,79,73,87,68,71,68,67,55,36,39,72,74,63,69,30,37,46,15,11,8,10,15,,68+1,68+1,68+1,74,73,73,73,74,74+1,74+1,74+1,74+1,70+1,70+1,70+1,74+1,60+1,57+1,57+1,57+1,60+1,56+1,47+1,47+1,47+1,56+1,19+1,https://cdn.sofifa.net/players/054/051/18_120.png,https://cdn.sofifa.net/teams/1960/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
5999,188540,https://sofifa.com/player/188540/rajiv-van-la-parra/180002,R. van La Parra,Rajiv van La Parra,"LM, RM",69,70,1200000.0,30000.0,26,1991-06-04,181,72,1939.0,Huddersfield Town,English Premier League,1.0,SUB,17.0,,2016-06-01,2020.0,34,Netherlands,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,2600000.0,,"Avoids Using Weaker Foot, Selfish, Flair, Technical Dribbler (AI)",84.0,56.0,59.0,77.0,37.0,63.0,58,51,38,64,51,79,67,57,52,76,83,85,78,58,74,67,56,67,65,54,54,34,62,57,63,66,27,48,36,16,14,11,16,12,,62+1,62+1,62+1,68,66,66,66,68,66+1,66+1,66+1,68+1,61+1,61+1,61+1,68+1,56+1,52+1,52+1,52+1,56+1,53+1,47+1,47+1,47+1,53+1,19+1,https://cdn.sofifa.net/players/188/540/18_120.png,https://cdn.sofifa.net/teams/1939/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/nl.png
7920,184480,https://sofifa.com/player/184480/hal-robson-kanu/180002,H. Robson-Kanu,Hal Robson-Kanu,"ST, LM",67,67,800000.0,40000.0,28,1989-05-21,183,83,109.0,West Bromwich Albion,English Premier League,1.0,SUB,4.0,,2016-09-01,2020.0,50,Wales,1367.0,SUB,9.0,Left,3,3,1,Medium/Medium,Normal (170-185),Yes,1500000.0,,"Avoids Using Weaker Foot, Flair, Backs Into Player",71.0,67.0,60.0,68.0,37.0,72.0,66,66,54,63,65,71,61,35,57,67,70,71,60,63,58,70,62,71,75,68,68,32,62,59,73,61,40,35,27,16,7,10,13,13,,66+1,66+1,66+1,66,66,66,66,66,65+1,65+1,65+1,66+1,61+1,61+1,61+1,66+1,54+1,52+1,52+1,52+1,54+1,51+1,48+1,48+1,48+1,51+1,18+1,https://cdn.sofifa.net/players/184/480/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
1284,169792,https://sofifa.com/player/169792/jay-rodriguez/180002,J. Rodriguez,Jay Rodriguez,"LM, ST",76,76,8000000.0,70000.0,27,1989-07-29,185,80,109.0,West Bromwich Albion,English Premier League,1.0,LM,19.0,,2017-07-02,2021.0,14,England,,,,Right,4,3,2,High/Medium,Lean (185+),Yes,15200000.0,,"Diver, Injury Prone, Beat Offside Trap, Long Shot Taker (AI), Speed Dribbler (AI)",77.0,75.0,68.0,76.0,32.0,67.0,68,77,76,75,74,77,69,29,66,75,76,78,75,77,64,74,81,76,71,72,41,44,80,69,71,75,16,28,21,12,12,16,14,9,,76,76,76,75,76,76,76,75,75+1,75+1,75+1,75+1,70+1,70+1,70+1,75+1,57+1,54+1,54+1,54+1,57+1,54+1,47+1,47+1,47+1,54+1,19+1,https://cdn.sofifa.net/players/169/792/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
235,184200,https://sofifa.com/player/184200/marko-arnautovic/180002,M. Arnautović,Marko Arnautović,"LM, RM, LW",82,82,22500000.0,120000.0,28,1989-04-19,192,83,19.0,West Ham United,English Premier League,1.0,LM,27.0,,2017-07-23,2022.0,4,Austria,1322.0,LW,7.0,Right,4,4,3,Medium/Medium,Normal (185+),Yes,42800000.0,,"Diver, Selfish, Flair, Technical Dribbler (AI)",77.0,74.0,79.0,81.0,53.0,81.0,83,73,71,79,79,84,79,74,74,85,76,78,72,75,57,78,68,79,84,71,81,53,80,81,77,77,49,60,30,14,15,10,10,15,,78+2,78+2,78+2,80+1,79+1,79+1,79+1,80+1,79+2,79+2,79+2,80+2,77+2,77+2,77+2,80+2,68+2,68+2,68+2,68+2,68+2,64+2,63+2,63+2,63+2,64+2,20+2,https://cdn.sofifa.net/players/184/200/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1322/60.png,https://cdn.sofifa.net/flags/at.png
1445,203910,https://sofifa.com/player/203910/anthony-knockaert/180002,A. Knockaert,Anthony Knockaert,"RM, LM",76,79,9500000.0,50000.0,25,1991-11-20,172,69,1808.0,Brighton & Hove Albion,English Premier League,1.0,RM,11.0,,2016-01-07,2022.0,18,France,,,,Left,3,4,1,High/High,Normal (170-185),Yes,19700000.0,#Acrobat,"Diver, Selfish, Flair, Technical Dribbler (AI)",75.0,72.0,72.0,81.0,31.0,67.0,74,73,59,73,61,82,76,76,63,77,78,73,91,72,84,73,74,73,59,72,78,32,73,73,68,73,17,34,29,14,14,8,11,8,,72+1,72+1,72+1,76,75,75,75,76,75+1,75+1,75+1,75+1,69+1,69+1,69+1,75+1,57+1,54+1,54+1,54+1,57+1,53+1,46+1,46+1,46+1,53+1,18+1,https://cdn.sofifa.net/players/203/910/18_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/fr.png
2358,200521,https://sofifa.com/player/200521/tom-ince/180002,T. Ince,Thomas Ince,"RW, LW, CAM",74,77,7000000.0,50000.0,25,1992-01-30,178,66,1939.0,Huddersfield Town,English Premier League,1.0,LM,22.0,,2017-07-04,2020.0,14,England,,,,Left,3,4,1,Medium/Medium,Lean (170-185),Yes,14500000.0,,"Flair, Technical Dribbler (AI), Set Play Specialist, Takes Finesse Free Kicks",79.0,69.0,68.0,77.0,26.0,53.0,71,71,40,67,44,77,75,73,59,76,81,77,87,68,81,70,55,68,52,71,38,30,73,70,68,67,22,24,21,9,12,15,8,8,,68+1,68+1,68+1,74,72,72,72,74,72+1,72+1,72+1,72+1,65+1,65+1,65+1,72+1,54+1,49+1,49+1,49+1,54+1,49+1,38+1,38+1,38+1,49+1,16+1,https://cdn.sofifa.net/players/200/521/18_120.png,https://cdn.sofifa.net/teams/1939/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1876,206516,https://sofifa.com/player/206516/will-hughes/180002,W. Hughes,Will Hughes,CM,75,84,10000000.0,40000.0,22,1995-04-17,185,74,1795.0,Watford,English Premier League,1.0,SUB,19.0,,2017-06-24,2022.0,14,England,,,,Left,3,3,1,Medium/Medium,Lean (185+),No,21000000.0,,Technical Dribbler (AI),66.0,59.0,72.0,77.0,65.0,65.0,64,61,58,77,46,77,56,48,73,78,68,65,73,75,78,58,54,74,61,56,67,62,68,79,60,78,67,68,67,7,15,12,9,12,,66+1,66+1,66+1,71,71,71,71,71,73+1,73+1,73+1,72+1,74+1,74+1,74+1,72+1,70+1,71+1,71+1,71+1,70+1,68+1,66+1,66+1,66+1,68+1,18+1,https://cdn.sofifa.net/players/206/516/18_120.png,https://cdn.sofifa.net/teams/1795/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
470,193061,https://sofifa.com/player/193061/roberto-pereyra/180002,R. Pereyra,Roberto Maximiliano Pereyra,"CM, CAM",80,83,18000000.0,70000.0,26,1991-01-07,182,77,1795.0,Watford,English Premier League,1.0,SUB,37.0,,2016-08-19,2021.0,52,Argentina,,,,Right,4,4,2,High/High,Lean (170-185),Yes,35600000.0,,Speed Dribbler (AI),78.0,66.0,80.0,81.0,68.0,68.0,78,61,60,83,74,82,78,72,76,83,78,78,79,78,75,66,66,77,64,72,66,72,76,81,72,78,64,71,70,4,5,3,4,8,,72+1,72+1,72+1,78,77,77,77,78,79+1,79+1,79+1,79+1,79+1,79+1,79+1,79+1,76+1,75+1,75+1,75+1,76+1,74+1,69+1,69+1,69+1,74+1,13+1,https://cdn.sofifa.net/players/193/061/18_120.png,https://cdn.sofifa.net/teams/1795/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ar.png
