,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
2467,213655,https://sofifa.com/player/213655/alex-iwobi/180002,A. Iwobi,Alex Iwobi,LM,74,85,9500000.0,60000.0,21,1996-05-03,180,75,1.0,Arsenal,English Premier League,1.0,SUB,17.0,,2013-07-01,2020.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,19500000.0,,"Flair, Technical Dribbler (AI)",78.0,61.0,66.0,82.0,28.0,65.0,52,63,42,80,48,83,50,40,57,83,79,78,77,72,76,67,50,70,72,54,46,24,68,75,56,70,29,26,23,14,7,12,14,11,,68+1,68+1,68+1,73,74,74,74,73,75+1,75+1,75+1,73+1,68+1,68+1,68+1,73+1,54+1,53+1,53+1,53+1,54+1,50+1,43+1,43+1,43+1,50+1,18+1,https://cdn.sofifa.net/players/213/655/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
481,198784,https://sofifa.com/player/198784/alex-oxlade-chamberlain/180002,A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,"RM, LM, RWB",80,85,20000000.0,100000.0,23,1993-08-15,175,70,9.0,Liverpool,English Premier League,1.0,SUB,21.0,,2017-08-31,2022.0,14,England,1318.0,RM,11.0,Right,4,4,2,High/Medium,Stocky (170-185),Yes,39500000.0,,"Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI)",88.0,70.0,74.0,84.0,52.0,71.0,75,68,39,78,58,85,67,53,73,82,87,88,84,74,88,75,66,76,70,74,66,51,74,72,69,73,52,57,54,16,9,6,9,9,,72+1,72+1,72+1,79,77,77,77,79,78+1,78+1,78+1,79+1,74+1,74+1,74+1,79+1,69+1,67+1,67+1,67+1,69+1,66+1,59+1,59+1,59+1,66+1,17+1,https://cdn.sofifa.net/players/198/784/18_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
630,201118,https://sofifa.com/player/201118/cedric-ricardo-alves-soares/180002,Cédric,Cédric Ricardo Alves Soares,RB,79,82,13000000.0,80000.0,25,1991-08-31,172,67,17.0,Southampton,English Premier League,1.0,RB,2.0,,2015-06-18,2020.0,38,Portugal,1354.0,RB,21.0,Right,4,2,2,High/Medium,Normal (170-185),Yes,25700000.0,,,82.0,67.0,72.0,76.0,76.0,72.0,81,57,65,75,68,76,66,64,69,76,84,80,76,76,83,80,73,88,63,78,75,76,71,65,60,69,76,78,79,11,14,12,12,11,,71+1,71+1,71+1,74,73,73,73,74,73+1,73+1,73+1,75+1,74+1,74+1,74+1,75+1,79+1,75+1,75+1,75+1,79+1,78+1,74+1,74+1,74+1,78+1,19+1,https://cdn.sofifa.net/players/201/118/18_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
143,167905,https://sofifa.com/player/167905/antonio-valencia/180002,A. Valencia,Luis Antonio Valencia Mosquera,RB,83,83,17000000.0,130000.0,31,1985-08-04,180,83,11.0,Manchester United,English Premier League,1.0,RB,25.0,,2009-06-30,2018.0,57,Ecuador,111465.0,RM,16.0,Right,1,3,2,High/High,Stocky (170-185),Yes,31500000.0,#Engine,"Avoids Using Weaker Foot, Speed Dribbler (AI), Team Player, Backs Into Player",87.0,65.0,75.0,81.0,78.0,85.0,85,58,64,77,69,82,69,66,69,81,88,87,75,86,83,85,70,90,85,62,83,80,75,71,55,82,78,83,77,16,11,10,7,7,,75+1,75+1,75+1,78,77,77,77,78,76+1,76+1,76+1,80+1,77+1,77+1,77+1,80+1,82+1,80+1,80+1,80+1,82+1,82+1,79+1,79+1,79+1,82+1,19+1,https://cdn.sofifa.net/players/167/905/18_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/111465/60.png,https://cdn.sofifa.net/flags/ec.png
520,231677,https://sofifa.com/player/231677/marcus-rashford/180002,M. Rashford,Marcus Rashford,"ST, RM, LM",80,89,22500000.0,90000.0,19,1997-10-31,185,70,11.0,Manchester United,English Premier League,1.0,LM,19.0,,2014-07-01,2020.0,14,England,1318.0,LM,7.0,Right,4,4,2,High/Low,Normal (185+),Yes,46100000.0,"#Speedster, #Acrobat","Beat Offside Trap, Flair, Speed Dribbler (AI)",92.0,76.0,72.0,82.0,34.0,74.0,72,79,68,74,71,83,74,73,65,79,93,92,90,76,78,82,63,83,73,66,67,42,81,73,74,74,22,32,25,11,6,15,7,14,,79+1,79+1,79+1,80,79,79,79,80,78+1,78+1,78+1,79+1,71+1,71+1,71+1,79+1,61+1,57+1,57+1,57+1,61+1,58+1,50+1,50+1,50+1,58+1,17+1,https://cdn.sofifa.net/players/231/677/18_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
463,190717,https://sofifa.com/player/190717/michail-antonio/180002,M. Antonio,Michail Antonio,"ST, RM, RWB",80,81,17500000.0,120000.0,27,1990-03-28,180,80,19.0,West Ham United,English Premier League,1.0,RM,30.0,,2015-09-01,2021.0,14,England,,,,Right,4,4,2,High/High,Stocky (170-185),Yes,34600000.0,,"Flair, Speed Dribbler (AI), Power Header, Giant Throw-in",85.0,74.0,70.0,81.0,52.0,82.0,73,74,88,73,69,83,66,60,67,78,82,87,86,76,76,76,84,78,86,72,75,40,77,65,73,70,44,56,53,12,13,8,14,10,,79+1,79+1,79+1,77,77,77,77,77,75+1,75+1,75+1,77+1,71+1,71+1,71+1,77+1,66+1,63+1,63+1,63+1,66+1,65+1,64+1,64+1,64+1,65+1,19+1,https://cdn.sofifa.net/players/190/717/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
861,205569,https://sofifa.com/player/205569/james-ward-prowse/180002,J. Ward-Prowse,James Ward-Prowse,"CM, RM, CAM",78,86,15000000.0,70000.0,22,1994-11-01,173,66,17.0,Southampton,English Premier League,1.0,SUB,16.0,,2011-06-01,2022.0,14,England,,,,Right,3,3,2,Medium/Medium,Normal (170-185),Yes,31500000.0,#Crosser,"Early Crosser, Long Passer (AI), Set Play Specialist, Takes Finesse Free Kicks",66.0,66.0,84.0,75.0,61.0,67.0,88,61,57,83,51,71,88,83,82,81,67,65,74,74,79,74,68,77,61,70,67,65,62,82,80,79,55,65,62,12,12,10,15,15,,67+1,67+1,67+1,73,72,72,72,73,75+1,75+1,75+1,75+1,77+1,77+1,77+1,75+1,72+1,72+1,72+1,72+1,72+1,70+1,64+1,64+1,64+1,70+1,20+1,https://cdn.sofifa.net/players/205/569/18_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1684,173436,https://sofifa.com/player/173436/nathan-dyer/180002,N. Dyer,Nathan Dyer,"RM, RW",75,75,6500000.0,60000.0,29,1987-11-29,167,62,1960.0,Swansea City,English Premier League,1.0,RES,12.0,,2009-06-02,2020.0,14,England,,,,Right,3,4,2,High/High,Lean (170-),Yes,12400000.0,,Speed Dribbler (AI),83.0,72.0,67.0,80.0,38.0,63.0,64,73,32,74,52,80,58,42,65,77,85,82,85,67,93,75,72,72,55,74,69,35,72,66,70,67,33,45,48,12,11,14,8,16,,69+1,69+1,69+1,75,74,74,74,75,74+1,74+1,74+1,74+1,68+1,68+1,68+1,74+1,61+1,58+1,58+1,58+1,61+1,57+1,49+1,49+1,49+1,57+1,18+1,https://cdn.sofifa.net/players/173/436/18_120.png,https://cdn.sofifa.net/teams/1960/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
18,192985,https://sofifa.com/player/192985/kevin-de-bruyne/180002,K. De Bruyne,Kevin De Bruyne,"CAM, CM, RM",89,92,83000000.0,275000.0,26,1991-06-28,181,68,10.0,Manchester City,English Premier League,1.0,RCM,17.0,,2015-08-30,2021.0,7,Belgium,1325.0,RCM,7.0,Right,4,4,4,High/High,Normal (170-185),Yes,159800000.0,"#Playmaker, #Engine, #Crosser, #Complete Midfielder","Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Set Play Specialist",75.0,84.0,88.0,85.0,45.0,75.0,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40,15,13,5,10,13,,81+3,81+3,81+3,85+2,85+2,85+2,85+2,85+2,86+3,86+3,86+3,85+3,84+3,84+3,84+3,85+3,71+3,70+3,70+3,70+3,71+3,66+3,57+3,57+3,57+3,66+3,21+3,https://cdn.sofifa.net/players/192/985/18_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
16043,224263,https://sofifa.com/player/224263/jonjoe-kenny/180002,J. Kenny,Jonjoe Kenny,"RB, CB, RWB",57,72,200000.0,9000.0,20,1997-03-15,176,67,7.0,Everton,English Premier League,1.0,RES,43.0,,2014-07-18,2019.0,14,England,,,,Right,3,2,1,Medium/Medium,Lean (170-185),Yes,505000.0,,,58.0,33.0,50.0,51.0,57.0,61.0,46,28,62,57,33,47,43,34,50,52,54,62,61,53,71,44,74,62,60,30,59,50,35,46,51,48,56,60,58,6,13,16,13,15,,46+1,46+1,46+1,47,46,46,46,47,48+1,48+1,48+1,49+1,50+1,50+1,50+1,49+1,55+1,55+1,55+1,55+1,55+1,56+1,58+1,58+1,58+1,56+1,17+1,https://cdn.sofifa.net/players/224/263/18_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
