,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
121,208722,https://sofifa.com/player/208722/sadio-mane/180002,S. Mané,Sadio Mané,"RW, LW",84,87,39000000.0,170000.0,25,1992-04-10,175,69,9.0,Liverpool,English Premier League,1.0,LW,19.0,,2016-07-01,2020.0,136,Senegal,,,,Right,3,4,3,High/Medium,Normal (170-185),Yes,77000000.0,"#Speedster, #Dribbler, #Acrobat","Diver, Beat Offside Trap, Flair, Speed Dribbler (AI)",93.0,78.0,75.0,85.0,36.0,75.0,72,83,53,77,68,86,74,64,71,84,94,92,89,80,85,77,75,82,72,69,73,31,84,78,71,78,33,35,38,10,10,15,7,14,,79+2,79+2,79+2,83+1,82+1,82+1,82+1,83+1,81+2,81+2,81+2,82+2,74+2,74+2,74+2,82+2,63+2,60+2,60+2,60+2,63+2,60+2,51+2,51+2,51+2,60+2,18+2,https://cdn.sofifa.net/players/208/722/18_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
2467,213655,https://sofifa.com/player/213655/alex-iwobi/180002,A. Iwobi,Alex Iwobi,LM,74,85,9500000.0,60000.0,21,1996-05-03,180,75,1.0,Arsenal,English Premier League,1.0,SUB,17.0,,2013-07-01,2020.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,19500000.0,,"Flair, Technical Dribbler (AI)",78.0,61.0,66.0,82.0,28.0,65.0,52,63,42,80,48,83,50,40,57,83,79,78,77,72,76,67,50,70,72,54,46,24,68,75,56,70,29,26,23,14,7,12,14,11,,68+1,68+1,68+1,73,74,74,74,73,75+1,75+1,75+1,73+1,68+1,68+1,68+1,73+1,54+1,53+1,53+1,53+1,54+1,50+1,43+1,43+1,43+1,50+1,18+1,https://cdn.sofifa.net/players/213/655/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
7920,184480,https://sofifa.com/player/184480/hal-robson-kanu/180002,H. Robson-Kanu,Hal Robson-Kanu,"ST, LM",67,67,800000.0,40000.0,28,1989-05-21,183,83,109.0,West Bromwich Albion,English Premier League,1.0,SUB,4.0,,2016-09-01,2020.0,50,Wales,1367.0,SUB,9.0,Left,3,3,1,Medium/Medium,Normal (170-185),Yes,1500000.0,,"Avoids Using Weaker Foot, Flair, Backs Into Player",71.0,67.0,60.0,68.0,37.0,72.0,66,66,54,63,65,71,61,35,57,67,70,71,60,63,58,70,62,71,75,68,68,32,62,59,73,61,40,35,27,16,7,10,13,13,,66+1,66+1,66+1,66,66,66,66,66,65+1,65+1,65+1,66+1,61+1,61+1,61+1,66+1,54+1,52+1,52+1,52+1,54+1,51+1,48+1,48+1,48+1,51+1,18+1,https://cdn.sofifa.net/players/184/480/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
1284,169792,https://sofifa.com/player/169792/jay-rodriguez/180002,J. Rodriguez,Jay Rodriguez,"LM, ST",76,76,8000000.0,70000.0,27,1989-07-29,185,80,109.0,West Bromwich Albion,English Premier League,1.0,LM,19.0,,2017-07-02,2021.0,14,England,,,,Right,4,3,2,High/Medium,Lean (185+),Yes,15200000.0,,"Diver, Injury Prone, Beat Offside Trap, Long Shot Taker (AI), Speed Dribbler (AI)",77.0,75.0,68.0,76.0,32.0,67.0,68,77,76,75,74,77,69,29,66,75,76,78,75,77,64,74,81,76,71,72,41,44,80,69,71,75,16,28,21,12,12,16,14,9,,76,76,76,75,76,76,76,75,75+1,75+1,75+1,75+1,70+1,70+1,70+1,75+1,57+1,54+1,54+1,54+1,57+1,54+1,47+1,47+1,47+1,54+1,19+1,https://cdn.sofifa.net/players/169/792/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
235,184200,https://sofifa.com/player/184200/marko-arnautovic/180002,M. Arnautović,Marko Arnautović,"LM, RM, LW",82,82,22500000.0,120000.0,28,1989-04-19,192,83,19.0,West Ham United,English Premier League,1.0,LM,27.0,,2017-07-23,2022.0,4,Austria,1322.0,LW,7.0,Right,4,4,3,Medium/Medium,Normal (185+),Yes,42800000.0,,"Diver, Selfish, Flair, Technical Dribbler (AI)",77.0,74.0,79.0,81.0,53.0,81.0,83,73,71,79,79,84,79,74,74,85,76,78,72,75,57,78,68,79,84,71,81,53,80,81,77,77,49,60,30,14,15,10,10,15,,78+2,78+2,78+2,80+1,79+1,79+1,79+1,80+1,79+2,79+2,79+2,80+2,77+2,77+2,77+2,80+2,68+2,68+2,68+2,68+2,68+2,64+2,63+2,63+2,63+2,64+2,20+2,https://cdn.sofifa.net/players/184/200/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1322/60.png,https://cdn.sofifa.net/flags/at.png
1025,185422,https://sofifa.com/player/185422/joshua-king/180002,J. King,Joshua Christian Kojo King,"ST, CF, CAM",77,81,11500000.0,70000.0,25,1992-01-15,180,74,1943.0,AFC Bournemouth,English Premier League,1.0,CF,17.0,,2015-07-01,2021.0,36,Norway,1352.0,SUB,18.0,Right,2,3,1,Medium/Medium,Normal (170-185),Yes,22700000.0,,"Beat Offside Trap, Flair, Speed Dribbler (AI)",90.0,77.0,60.0,76.0,29.0,70.0,63,82,63,68,67,77,69,42,48,74,87,92,78,72,71,78,72,73,77,69,50,33,77,56,72,72,22,26,19,12,9,11,12,7,,76+1,76+1,76+1,75,75,75,75,75,71+1,71+1,71+1,73+1,63+1,63+1,63+1,73+1,55+1,50+1,50+1,50+1,55+1,52+1,45+1,45+1,45+1,52+1,17+1,https://cdn.sofifa.net/players/185/422/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1352/60.png,https://cdn.sofifa.net/flags/no.png
1445,203910,https://sofifa.com/player/203910/anthony-knockaert/180002,A. Knockaert,Anthony Knockaert,"RM, LM",76,79,9500000.0,50000.0,25,1991-11-20,172,69,1808.0,Brighton & Hove Albion,English Premier League,1.0,RM,11.0,,2016-01-07,2022.0,18,France,,,,Left,3,4,1,High/High,Normal (170-185),Yes,19700000.0,#Acrobat,"Diver, Selfish, Flair, Technical Dribbler (AI)",75.0,72.0,72.0,81.0,31.0,67.0,74,73,59,73,61,82,76,76,63,77,78,73,91,72,84,73,74,73,59,72,78,32,73,73,68,73,17,34,29,14,14,8,11,8,,72+1,72+1,72+1,76,75,75,75,76,75+1,75+1,75+1,75+1,69+1,69+1,69+1,75+1,57+1,54+1,54+1,54+1,57+1,53+1,46+1,46+1,46+1,53+1,18+1,https://cdn.sofifa.net/players/203/910/18_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/fr.png
947,152747,https://sofifa.com/player/152747/aaron-lennon/180002,A. Lennon,Aaron Lennon,RM,77,77,8500000.0,100000.0,30,1987-04-16,165,63,7.0,Everton,English Premier League,1.0,RES,12.0,,2015-09-01,2018.0,14,England,,,,Right,3,3,2,High/Medium,Normal (170-),Yes,16200000.0,#Acrobat,"Avoids Using Weaker Foot, Speed Dribbler (AI)",83.0,64.0,71.0,82.0,38.0,62.0,78,65,28,76,68,82,63,55,54,80,84,82,91,74,91,64,70,70,59,57,57,42,71,73,62,77,40,37,37,14,7,7,16,11,,67+1,67+1,67+1,76,74,74,74,76,75+1,75+1,75+1,76+1,68+1,68+1,68+1,76+1,63+1,57+1,57+1,57+1,63+1,58+1,48+1,48+1,48+1,58+1,19+1,https://cdn.sofifa.net/players/152/747/18_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
470,193061,https://sofifa.com/player/193061/roberto-pereyra/180002,R. Pereyra,Roberto Maximiliano Pereyra,"CM, CAM",80,83,18000000.0,70000.0,26,1991-01-07,182,77,1795.0,Watford,English Premier League,1.0,SUB,37.0,,2016-08-19,2021.0,52,Argentina,,,,Right,4,4,2,High/High,Lean (170-185),Yes,35600000.0,,Speed Dribbler (AI),78.0,66.0,80.0,81.0,68.0,68.0,78,61,60,83,74,82,78,72,76,83,78,78,79,78,75,66,66,77,64,72,66,72,76,81,72,78,64,71,70,4,5,3,4,8,,72+1,72+1,72+1,78,77,77,77,78,79+1,79+1,79+1,79+1,79+1,79+1,79+1,79+1,76+1,75+1,75+1,75+1,76+1,74+1,69+1,69+1,69+1,74+1,13+1,https://cdn.sofifa.net/players/193/061/18_120.png,https://cdn.sofifa.net/teams/1795/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ar.png
1784,192362,https://sofifa.com/player/192362/luciano-narsingh/180002,L. Narsingh,Luciano Narsingh,"RW, LW",75,75,7000000.0,60000.0,26,1990-09-13,177,77,1960.0,Swansea City,English Premier League,1.0,SUB,11.0,,2017-01-12,2019.0,34,Netherlands,,,,Right,3,4,2,Medium/Low,Normal (170-185),Yes,13300000.0,#Speedster,"Speed Dribbler (AI), Chip Shot (AI)",91.0,65.0,67.0,76.0,24.0,58.0,76,70,40,71,62,76,69,59,42,76,91,91,80,74,77,65,34,71,65,54,28,20,73,72,58,71,19,28,22,10,8,14,8,6,,69+1,69+1,69+1,75,73,73,73,75,73+1,73+1,73+1,74+1,63+1,63+1,63+1,74+1,56+1,47+1,47+1,47+1,56+1,51+1,38+1,38+1,38+1,51+1,16+1,https://cdn.sofifa.net/players/192/362/18_120.png,https://cdn.sofifa.net/teams/1960/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/nl.png
