,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
630,201118,https://sofifa.com/player/201118/cedric-ricardo-alves-soares/180002,Cédric,Cédric Ricardo Alves Soares,RB,79,82,13000000.0,80000.0,25,1991-08-31,172,67,17.0,Southampton,English Premier League,1.0,RB,2.0,,2015-06-18,2020.0,38,Portugal,1354.0,RB,21.0,Right,4,2,2,High/Medium,Normal (170-185),Yes,25700000.0,,,82.0,67.0,72.0,76.0,76.0,72.0,81,57,65,75,68,76,66,64,69,76,84,80,76,76,83,80,73,88,63,78,75,76,71,65,60,69,76,78,79,11,14,12,12,11,,71+1,71+1,71+1,74,73,73,73,74,73+1,73+1,73+1,75+1,74+1,74+1,74+1,75+1,79+1,75+1,75+1,75+1,79+1,78+1,74+1,74+1,74+1,78+1,19+1,https://cdn.sofifa.net/players/201/118/18_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
143,167905,https://sofifa.com/player/167905/antonio-valencia/180002,A. Valencia,Luis Antonio Valencia Mosquera,RB,83,83,17000000.0,130000.0,31,1985-08-04,180,83,11.0,Manchester United,English Premier League,1.0,RB,25.0,,2009-06-30,2018.0,57,Ecuador,111465.0,RM,16.0,Right,1,3,2,High/High,Stocky (170-185),Yes,31500000.0,#Engine,"Avoids Using Weaker Foot, Speed Dribbler (AI), Team Player, Backs Into Player",87.0,65.0,75.0,81.0,78.0,85.0,85,58,64,77,69,82,69,66,69,81,88,87,75,86,83,85,70,90,85,62,83,80,75,71,55,82,78,83,77,16,11,10,7,7,,75+1,75+1,75+1,78,77,77,77,78,76+1,76+1,76+1,80+1,77+1,77+1,77+1,80+1,82+1,80+1,80+1,80+1,82+1,82+1,79+1,79+1,79+1,82+1,19+1,https://cdn.sofifa.net/players/167/905/18_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/111465/60.png,https://cdn.sofifa.net/flags/ec.png
3691,203783,https://sofifa.com/player/203783/tommy-smith/180002,T. Smith,Tommy Smith,RB,72,76,3300000.0,30000.0,25,1992-04-14,186,84,1939.0,Huddersfield Town,English Premier League,1.0,RB,2.0,,2012-09-01,2020.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,6900000.0,,Injury Free,74.0,34.0,67.0,65.0,70.0,73.0,74,38,65,68,20,65,59,41,62,67,76,73,60,72,63,29,64,79,71,22,71,67,67,68,41,63,71,73,69,15,14,14,14,9,,57+1,57+1,57+1,64,61,61,61,64,63+1,63+1,63+1,68+1,66+1,66+1,66+1,68+1,71+1,69+1,69+1,69+1,71+1,71+1,70+1,70+1,70+1,71+1,20+1,https://cdn.sofifa.net/players/203/783/18_120.png,https://cdn.sofifa.net/teams/1939/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
1037,188166,https://sofifa.com/player/188166/matt-phillips/180002,M. Phillips,Matt Phillips,"RM, LM",77,78,10500000.0,70000.0,26,1991-03-13,183,75,109.0,West Bromwich Albion,English Premier League,1.0,RM,10.0,,2016-07-06,2020.0,42,Scotland,,,,Right,4,3,1,Medium/Medium,Normal (170-185),Yes,20700000.0,,"Injury Prone, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot",87.0,71.0,69.0,78.0,35.0,71.0,77,69,54,68,45,82,72,48,67,74,88,86,78,65,71,80,54,74,78,74,55,28,72,70,61,67,29,40,34,14,16,16,10,10,,72+2,72+2,72+2,75+1,74+1,74+1,74+1,75+1,73+2,73+2,73+2,75+2,67+2,67+2,67+2,75+2,59+2,54+2,54+2,54+2,59+2,55+2,48+2,48+2,48+2,55+2,18+2,https://cdn.sofifa.net/players/188/166/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-sct.png
1790,192838,https://sofifa.com/player/192838/ezequiel-schelotto/180002,E. Schelotto,Matías Ezequiel Schelotto,"RB, RM",75,75,5500000.0,40000.0,28,1989-05-23,187,76,1808.0,Brighton & Hove Albion,English Premier League,1.0,SUB,26.0,,2017-08-31,2020.0,27,Italy,,,,Right,3,3,1,High/Medium,Lean (185+),No,11000000.0,,Speed Dribbler (AI),78.0,61.0,67.0,71.0,71.0,81.0,74,52,64,68,59,71,67,57,65,72,74,82,71,73,65,75,72,90,75,67,85,73,73,62,54,66,68,74,76,11,11,6,5,9,,68+1,68+1,68+1,70,69,69,69,70,68+1,68+1,68+1,71+1,70+1,70+1,70+1,71+1,75,72+1,72+1,72+1,75,74+1,73+1,73+1,73+1,74+1,16+1,https://cdn.sofifa.net/players/192/838/18_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/it.png
3033,207807,https://sofifa.com/player/207807/ryan-fraser/180002,R. Fraser,Ryan Fraser,"RM, LM",73,80,5500000.0,50000.0,23,1994-02-24,163,60,1943.0,AFC Bournemouth,English Premier League,1.0,RM,24.0,,2013-01-01,2020.0,42,Scotland,,,,Right,4,3,1,High/Medium,Normal (170-),Yes,11600000.0,#Acrobat,"Diver, Flair, Speed Dribbler (AI)",88.0,64.0,68.0,76.0,42.0,55.0,72,67,25,69,43,76,70,67,54,71,89,88,92,64,93,60,61,72,41,69,65,35,69,70,56,68,53,43,37,15,14,15,7,10,,63+1,63+1,63+1,73,70,70,70,73,71+1,71+1,71+1,72+1,65+1,65+1,65+1,72+1,61+1,55+1,55+1,55+1,61+1,57+1,47+1,47+1,47+1,57+1,17+1,https://cdn.sofifa.net/players/207/807/18_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-sct.png
2082,153938,https://sofifa.com/player/153938/angel-rangel-zaragoza/180002,Àngel Rangel,Àngel Rangel Zaragoza,RB,74,74,1600000.0,50000.0,34,1982-10-28,178,82,1960.0,Swansea City,English Premier League,1.0,SUB,22.0,,2007-07-01,2018.0,45,Spain,,,,Right,3,3,2,Medium/High,Normal (170-185),Yes,3000000.0,,Team Player,50.0,59.0,71.0,72.0,79.0,72.0,80,56,76,70,43,73,63,57,71,75,53,47,68,75,55,66,75,67,76,59,68,82,65,71,59,76,78,80,77,13,16,8,6,6,,66+1,66+1,66+1,68,67,67,67,68,68+1,68+1,68+1,69+1,71+1,71+1,71+1,69+1,73+1,75-1,75-1,75-1,73+1,73+1,76-2,76-2,76-2,73+1,17+1,https://cdn.sofifa.net/players/153/938/18_120.png,https://cdn.sofifa.net/teams/1960/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/es.png
18,192985,https://sofifa.com/player/192985/kevin-de-bruyne/180002,K. De Bruyne,Kevin De Bruyne,"CAM, CM, RM",89,92,83000000.0,275000.0,26,1991-06-28,181,68,10.0,Manchester City,English Premier League,1.0,RCM,17.0,,2015-08-30,2021.0,7,Belgium,1325.0,RCM,7.0,Right,4,4,4,High/High,Normal (170-185),Yes,159800000.0,"#Playmaker, #Engine, #Crosser, #Complete Midfielder","Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Set Play Specialist",75.0,84.0,88.0,85.0,45.0,75.0,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40,15,13,5,10,13,,81+3,81+3,81+3,85+2,85+2,85+2,85+2,85+2,86+3,86+3,86+3,85+3,84+3,84+3,84+3,85+3,71+3,70+3,70+3,70+3,71+3,66+3,57+3,57+3,57+3,66+3,21+3,https://cdn.sofifa.net/players/192/985/18_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
532,142784,https://sofifa.com/player/142784/pablo-zabaleta/180002,P. Zabaleta,Pablo Javier Zabaleta Girod,RB,79,79,7000000.0,100000.0,32,1985-01-16,178,74,19.0,West Ham United,English Premier League,1.0,RB,5.0,,2017-07-01,2019.0,52,Argentina,,,,Right,3,3,3,High/High,Normal (170-185),Yes,13300000.0,,"Dives Into Tackles (AI), Team Player",61.0,56.0,70.0,73.0,81.0,78.0,74,49,75,72,53,73,68,66,64,75,61,61,69,85,66,66,84,69,78,57,89,84,71,66,64,76,78,83,82,10,14,15,7,5,,67+2,67+2,67+2,69+1,69+1,69+1,69+1,69+1,69+2,69+2,69+2,70+2,72+2,72+2,72+2,70+2,76+2,77+2,77+2,77+2,76+2,77+2,80-1,80-1,80-1,77+2,18+2,https://cdn.sofifa.net/players/142/784/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ar.png
1734,186598,https://sofifa.com/player/186598/kyle-naughton/180002,K. Naughton,Kyle Naughton,RB,75,75,5500000.0,50000.0,28,1988-11-11,180,73,1960.0,Swansea City,English Premier League,1.0,RB,26.0,,2015-01-22,2020.0,14,England,,,,Right,3,3,2,High/Medium,Lean (170-185),Yes,10500000.0,,Long Throw-in,74.0,52.0,65.0,67.0,74.0,70.0,71,45,70,73,52,64,43,28,66,68,74,74,71,70,70,68,73,74,68,52,68,73,54,59,47,67,71,78,79,12,10,9,9,11,,62+1,62+1,62+1,64,63,63,63,64,64+1,64+1,64+1,66+1,66+1,66+1,66+1,66+1,73+1,71+1,71+1,71+1,73+1,74+1,73+1,73+1,73+1,74+1,17+1,https://cdn.sofifa.net/players/186/598/18_120.png,https://cdn.sofifa.net/teams/1960/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
