,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
1884,208339,https://sofifa.com/player/208339/oumar-niasse/180002,O. Niasse,El-Hadji Baye Oumar Niasse,ST,75,75,7000000.0,90000.0,27,1990-04-18,182,82,7.0,Everton,English Premier League,1.0,RES,34.0,,2016-02-01,2020.0,136,Senegal,,,,Right,3,2,1,Medium/Medium,Normal (170-185),Yes,13300000.0,,"Beat Offside Trap, Speed Dribbler (AI)",77.0,74.0,57.0,71.0,30.0,72.0,56,75,74,64,74,73,63,39,35,70,81,74,71,70,67,76,70,75,77,71,56,35,75,63,67,67,20,23,24,16,6,12,10,8,,74+1,74+1,74+1,70,72,72,72,70,68+1,68+1,68+1,68+1,60+1,60+1,60+1,68+1,53+1,48+1,48+1,48+1,53+1,50+1,46+1,46+1,46+1,50+1,17+1,https://cdn.sofifa.net/players/208/339/18_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
217,171833,https://sofifa.com/player/171833/daniel-sturridge/180002,D. Sturridge,Daniel Andre Sturridge,ST,82,82,23500000.0,140000.0,27,1989-09-01,180,76,9.0,Liverpool,English Premier League,1.0,SUB,15.0,,2013-01-02,2019.0,14,England,1318.0,SUB,19.0,Left,2,4,3,Medium/Low,Normal (185+),Yes,44700000.0,,"Injury Prone, Selfish, Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot, Through Ball",76.0,82.0,69.0,79.0,25.0,68.0,62,83,73,74,75,80,62,68,62,81,74,78,75,82,64,83,72,68,71,80,60,22,84,74,75,81,15,24,12,7,15,9,5,13,,80+2,80+2,80+2,78+1,80+1,80+1,80+1,78+1,78+2,78+2,78+2,76+2,70+2,70+2,70+2,76+2,52+2,51+2,51+2,51+2,52+2,49+2,44+2,44+2,44+2,49+2,18+2,https://cdn.sofifa.net/players/171/833/18_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
1994,225719,https://sofifa.com/player/225719/kelechi-iheanacho/180002,K. Iheanacho,Kelechi Promise Iheanacho,ST,75,86,11500000.0,50000.0,20,1996-10-03,185,82,95.0,Leicester City,English Premier League,1.0,SUB,8.0,,2017-08-03,2022.0,133,Nigeria,,,,Left,3,3,1,High/Medium,Normal (185+),Yes,24200000.0,,"Avoids Using Weaker Foot, Beat Offside Trap, Finesse Shot",84.0,75.0,60.0,74.0,22.0,68.0,48,79,60,66,69,73,67,53,58,75,84,84,78,70,68,76,58,68,74,66,56,17,79,65,74,72,15,22,12,8,7,7,11,15,,74+1,74+1,74+1,72,74,74,74,72,72+1,72+1,72+1,70+1,63+1,63+1,63+1,70+1,48+1,47+1,47+1,47+1,48+1,45+1,40+1,40+1,40+1,45+1,17+1,https://cdn.sofifa.net/players/225/719/18_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ng.png
3476,179613,https://sofifa.com/player/179613/bakary-sako/180002,B. Sako,Bakary Sako,LM,72,72,3000000.0,40000.0,29,1988-04-26,183,90,1799.0,Crystal Palace,English Premier League,1.0,RES,26.0,,2015-08-05,2018.0,126,Mali,,,,Left,3,3,1,High/Medium,Stocky (170-185),Yes,5800000.0,,"Avoids Using Weaker Foot, Long Shot Taker (AI)",74.0,71.0,69.0,74.0,39.0,76.0,75,66,61,67,68,76,74,73,63,73,73,74,72,67,67,79,60,64,84,75,75,40,72,69,70,69,37,33,35,13,16,13,7,9,,71+1,71+1,71+1,72,71,71,71,72,71+1,71+1,71+1,71+1,66+1,66+1,66+1,71+1,58+1,56+1,56+1,56+1,58+1,55+1,52+1,52+1,52+1,55+1,17+1,https://cdn.sofifa.net/players/179/613/18_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ml.png
520,231677,https://sofifa.com/player/231677/marcus-rashford/180002,M. Rashford,Marcus Rashford,"ST, RM, LM",80,89,22500000.0,90000.0,19,1997-10-31,185,70,11.0,Manchester United,English Premier League,1.0,LM,19.0,,2014-07-01,2020.0,14,England,1318.0,LM,7.0,Right,4,4,2,High/Low,Normal (185+),Yes,46100000.0,"#Speedster, #Acrobat","Beat Offside Trap, Flair, Speed Dribbler (AI)",92.0,76.0,72.0,82.0,34.0,74.0,72,79,68,74,71,83,74,73,65,79,93,92,90,76,78,82,63,83,73,66,67,42,81,73,74,74,22,32,25,11,6,15,7,14,,79+1,79+1,79+1,80,79,79,79,80,78+1,78+1,78+1,79+1,71+1,71+1,71+1,79+1,61+1,57+1,57+1,57+1,61+1,58+1,50+1,50+1,50+1,58+1,17+1,https://cdn.sofifa.net/players/231/677/18_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
68,202126,https://sofifa.com/player/202126/harry-kane/180002,H. Kane,Harry Kane,ST,86,90,59000000.0,160000.0,23,1993-07-28,188,86,18.0,Tottenham Hotspur,English Premier League,1.0,ST,10.0,,2010-07-01,2022.0,14,England,1318.0,ST,9.0,Right,4,3,3,High/High,Normal (185+),Yes,116500000.0,"#Strength, #Clinical Finisher",Long Shot Taker (AI),71.0,87.0,72.0,78.0,42.0,83.0,70,90,83,75,73,78,71,66,67,82,68,74,73,87,62,87,70,85,86,84,74,35,89,75,84,84,41,36,38,8,10,11,14,11,,84+2,84+2,84+2,79+1,82+1,82+1,82+1,79+1,79+2,79+2,79+2,78+2,74+2,74+2,74+2,78+2,62+2,62+2,62+2,62+2,62+2,60+2,57+2,57+2,57+2,60+2,19+2,https://cdn.sofifa.net/players/202/126/18_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
463,190717,https://sofifa.com/player/190717/michail-antonio/180002,M. Antonio,Michail Antonio,"ST, RM, RWB",80,81,17500000.0,120000.0,27,1990-03-28,180,80,19.0,West Ham United,English Premier League,1.0,RM,30.0,,2015-09-01,2021.0,14,England,,,,Right,4,4,2,High/High,Stocky (170-185),Yes,34600000.0,,"Flair, Speed Dribbler (AI), Power Header, Giant Throw-in",85.0,74.0,70.0,81.0,52.0,82.0,73,74,88,73,69,83,66,60,67,78,82,87,86,76,76,76,84,78,86,72,75,40,77,65,73,70,44,56,53,12,13,8,14,10,,79+1,79+1,79+1,77,77,77,77,77,75+1,75+1,75+1,77+1,71+1,71+1,71+1,77+1,66+1,63+1,63+1,63+1,66+1,65+1,64+1,64+1,64+1,65+1,19+1,https://cdn.sofifa.net/players/190/717/18_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
453,186146,https://sofifa.com/player/186146/danny-welbeck/180002,D. Welbeck,Daniel Nii Tackie Mensah Welbeck,ST,80,81,17500000.0,130000.0,26,1990-11-26,185,73,1.0,Arsenal,English Premier League,1.0,SUB,23.0,,2014-09-02,2019.0,14,England,,,,Right,3,3,3,High/High,Normal (185+),Yes,33700000.0,,"Diver, Speed Dribbler (AI)",84.0,74.0,71.0,79.0,37.0,78.0,69,75,75,76,76,80,61,62,64,78,83,84,82,78,63,77,80,81,78,69,75,32,80,72,70,76,28,38,33,9,10,6,12,16,,78+2,78+2,78+2,77+1,78+1,78+1,78+1,77+1,77+2,77+2,77+2,77+2,71+2,71+2,71+2,77+2,60+2,58+2,58+2,58+2,60+2,58+2,53+2,53+2,53+2,58+2,19+2,https://cdn.sofifa.net/players/186/146/18_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
317,172175,https://sofifa.com/player/172175/kevin-mirallas/180002,K. Mirallas,Kevin Mirallas,"LM, LW",81,81,17500000.0,120000.0,29,1987-10-05,182,72,7.0,Everton,English Premier League,1.0,SUB,11.0,,2012-08-19,2021.0,7,Belgium,,,,Right,4,4,2,High/Medium,Lean (170-185),Yes,33300000.0,,"Beat Offside Trap, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",83.0,77.0,77.0,83.0,46.0,65.0,81,77,64,80,76,84,77,76,77,85,82,84,82,76,73,77,73,76,62,76,58,35,80,67,78,74,40,52,51,8,10,14,13,15,,77+1,77+1,77+1,80,79,79,79,80,79+1,79+1,79+1,80+1,74+1,74+1,74+1,80+1,67+1,63+1,63+1,63+1,67+1,64+1,56+1,56+1,56+1,64+1,19+1,https://cdn.sofifa.net/players/172/175/18_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/be.png
461,189250,https://sofifa.com/player/189250/salomon-rondon/180002,S. Rondón,José Salomón Rondón Giménez,ST,80,80,16000000.0,90000.0,27,1989-09-16,186,86,109.0,West Bromwich Albion,English Premier League,1.0,ST,9.0,,2015-08-10,2019.0,61,Venezuela,111487.0,RS,23.0,Right,4,3,2,High/Medium,Stocky (185+),Yes,30400000.0,#Strength,"Power Header, Target Forward",75.0,77.0,56.0,74.0,31.0,80.0,48,77,88,69,73,75,53,52,40,78,73,76,69,73,48,85,71,68,89,70,74,33,82,53,62,76,25,23,13,13,13,7,5,14,,79+1,79+1,79+1,71,75,75,75,71,70+1,70+1,70+1,69+1,62+1,62+1,62+1,69+1,51+1,50+1,50+1,50+1,51+1,49+1,50+1,50+1,50+1,49+1,18+1,https://cdn.sofifa.net/players/189/250/18_120.png,https://cdn.sofifa.net/teams/109/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/111487/60.png,https://cdn.sofifa.net/flags/ve.png
